b21	b10	a01	a12	syl
e	o	l	ă	true
e	o	m	-	false
e	o	m	a	true
e	o	m	e	true
e	o	m	i	true
e	o	m	o	true
e	o	m	u	true
e	o	n	-	false
e	o	n	a	true
e	o	n	e	true
e	o	n	i	false
e	o	n	i	true
e	o	n	o	true
e	o	n	t	false
e	o	n	u	true
e	o	n	ă	true
e	o	p	-	false
e	o	p	a	true
e	o	p	c	false
e	o	p	e	true
e	o	p	i	true
e	o	p	l	true
e	o	p	n	false
e	o	p	o	true
e	o	p	r	true
e	o	p	s	false
e	o	p	t	false
e	o	p	t	true
e	o	r	-	false
e	o	r	a	true
e	o	r	b	false
e	o	r	c	false
e	o	r	d	false
e	o	r	e	true
e	o	r	g	false
e	o	r	i	false
e	o	r	i	true
e	o	r	m	false
e	o	r	o	true
e	o	r	p	false
e	o	r	s	false
e	o	r	u	true
e	o	r	â	true
e	o	r	ă	true
e	o	s	-	false
e	o	s	a	true
e	o	s	c	false
e	o	s	c	true
e	o	s	e	true
e	o	s	f	false
e	o	s	f	true
e	o	s	i	true
e	o	s	l	true
e	o	s	o	true
e	o	s	p	false
e	o	s	p	true
e	o	s	t	false
e	o	s	t	true
e	o	s	â	true
e	o	t	-	false
e	o	t	a	true
e	o	t	e	true
e	o	t	i	true
e	o	t	o	true
e	o	t	r	true
e	o	t	u	true
e	o	u	l	true
e	o	v	e	true
e	o	x	i	true
e	o	z	a	true
e	o	z	e	true
e	o	z	i	true
e	o	z	o	true
e	o	z	â	true
e	o	z	ă	true
e	o	ș	-	false
e	o	ș	c	false
e	o	ș	i	false
e	o	ș	t	false
e	o	ț	e	true
e	o	ț	i	false
e	o	ț	i	true
e	p	a	-	false
e	p	a	c	false
e	p	a	g	false
e	p	a	i	false
e	p	a	j	false
e	p	a	l	false
e	p	a	m	false
e	p	a	n	false
e	p	a	r	false
e	p	a	s	false
e	p	a	t	false
e	p	a	u	false
e	p	a	v	false
e	p	a	ș	false
e	p	a	ț	false
e	p	c	a	true
e	p	c	e	true
e	p	c	h	true
e	p	c	i	false
e	p	c	i	true
e	p	c	u	true
e	p	c	ă	true
e	p	d	e	true
e	p	e	-	false
e	p	e	a	false
e	p	e	c	false
e	p	e	d	false
e	p	e	i	false
e	p	e	j	false
e	p	e	l	false
e	p	e	m	false
e	p	e	n	false
e	p	e	p	false
e	p	e	r	false
e	p	e	s	false
e	p	e	t	false
e	p	e	z	false
e	p	e	ș	false
e	p	e	ț	false
e	p	f	r	true
e	p	g	i	true
e	p	h	r	true
e	p	i	-	false
e	p	i	a	false
e	p	i	b	false
e	p	i	c	false
e	p	i	d	false
e	p	i	e	false
e	p	i	f	false
e	p	i	g	false
e	p	i	i	false
e	p	i	l	false
e	p	i	m	false
e	p	i	n	false
e	p	i	o	false
e	p	i	p	false
e	p	i	r	false
e	p	i	s	false
e	p	i	t	false
e	p	i	u	false
e	p	i	z	false
e	p	i	ș	false
e	p	i	ț	false
e	p	l	a	false
e	p	l	e	false
e	p	l	i	false
e	p	l	o	false
e	p	l	u	false
e	p	l	â	false
e	p	l	ă	false
e	p	n	e	true
e	p	o	a	false
e	p	o	c	false
e	p	o	d	false
e	p	o	e	false
e	p	o	f	false
e	p	o	l	false
e	p	o	m	false
e	p	o	n	false
e	p	o	p	false
e	p	o	r	false
e	p	o	s	false
e	p	o	t	false
e	p	o	u	false
e	p	o	v	false
e	p	o	z	false
e	p	o	ș	false
e	p	o	ț	false
e	p	p	a	true
e	p	p	e	true
e	p	p	ă	true
e	p	r	a	false
e	p	r	e	false
e	p	r	i	false
e	p	r	o	false
e	p	r	u	false
e	p	r	ă	false
e	p	s	-	false
e	p	s	a	true
e	p	s	e	true
e	p	s	i	true
e	p	s	u	true
e	p	s	ă	true
e	p	t	-	false
e	p	t	-	true
e	p	t	a	true
e	p	t	c	false
e	p	t	e	true
e	p	t	i	true
e	p	t	o	false
e	p	t	o	true
e	p	t	r	true
e	p	t	u	false
e	p	t	u	true
e	p	t	â	true
e	p	t	ă	true
e	p	u	-	false
e	p	u	b	false
e	p	u	d	false
e	p	u	g	false
e	p	u	i	false
e	p	u	l	false
e	p	u	n	false
e	p	u	r	false
e	p	u	s	false
e	p	u	t	false
e	p	u	ș	false
e	p	u	ț	false
e	p	â	n	false
e	p	ă	-	false
e	p	ă	d	false
e	p	ă	i	false
e	p	ă	m	false
e	p	ă	n	false
e	p	ă	r	false
e	p	ă	s	false
e	p	ă	t	false
e	p	ă	ș	false
e	p	ș	e	true
e	p	ș	i	false
e	p	ș	i	true
e	p	ș	u	false
e	p	ț	e	true
e	p	ț	i	false
e	p	ț	i	true
e	p	ț	ă	true
e	q	u	a	false
e	q	u	o	false
e	r	a	-	false
e	r	a	b	false
e	r	a	c	false
e	r	a	c	true
e	r	a	d	false
e	r	a	e	false
e	r	a	f	false
e	r	a	h	false
e	r	a	i	false
e	r	a	j	false
e	r	a	l	false
e	r	a	l	true
e	r	a	m	false
e	r	a	n	false
e	r	a	n	true
e	r	a	p	false
e	r	a	r	false
e	r	a	r	true
e	r	a	s	false
e	r	a	s	true
e	r	a	t	false
e	r	a	t	true
e	r	a	u	false
e	r	a	z	false
e	r	a	ș	false
e	r	a	ț	false
e	r	b	-	false
e	r	b	-	true
e	r	b	a	false
e	r	b	a	true
e	r	b	e	false
e	r	b	e	true
e	r	b	i	false
e	r	b	i	true
e	r	b	o	false
e	r	b	o	true
e	r	b	u	false
e	r	b	u	true
e	r	b	â	true
e	r	b	ă	false
e	r	b	ă	true
e	r	c	-	false
e	r	c	a	true
e	r	c	e	true
e	r	c	h	true
e	r	c	i	false
e	r	c	i	true
e	r	c	l	true
e	r	c	o	true
e	r	c	r	true
e	r	c	u	true
e	r	c	â	true
e	r	c	ă	true
e	r	d	-	false
e	r	d	-	true
e	r	d	a	true
e	r	d	e	true
e	r	d	i	true
e	r	d	o	true
e	r	d	u	true
e	r	d	â	true
e	r	d	ă	true
e	r	e	-	false
e	r	e	-	true
e	r	e	a	false
e	r	e	b	false
e	r	e	c	false
e	r	e	c	true
e	r	e	d	false
e	r	e	e	false
e	r	e	f	false
e	r	e	g	false
e	r	e	i	false
e	r	e	l	false
e	r	e	l	true
e	r	e	m	false
e	r	e	m	true
e	r	e	n	false
e	r	e	o	false
e	r	e	p	false
e	r	e	r	false
e	r	e	s	false
e	r	e	s	true
e	r	e	t	false
e	r	e	u	false
e	r	e	v	false
e	r	e	x	false
e	r	e	x	true
e	r	e	z	false
e	r	e	ș	false
e	r	e	ț	false
e	r	f	a	true
e	r	f	e	true
e	r	f	i	true
e	r	f	l	true
e	r	f	o	true
e	r	f	r	true
e	r	f	u	true
e	r	g	-	false
e	r	g	a	true
e	r	g	e	true
e	r	g	h	true
e	r	g	i	false
e	r	g	i	true
e	r	g	l	true
e	r	g	o	true
e	r	g	r	true
e	r	g	u	true
e	r	g	â	true
e	r	g	ă	true
e	r	h	a	true
e	r	h	e	true
e	r	h	i	true
e	r	h	o	true
e	r	h	ă	true
e	r	i	-	false
e	r	i	a	false
e	r	i	b	false
e	r	i	c	false
e	r	i	c	true
e	r	i	d	false
e	r	i	e	false
e	r	i	f	false
e	r	i	g	false
e	r	i	h	false
e	r	i	i	false
e	r	i	j	false
e	r	i	l	false
e	r	i	m	false
e	r	i	n	false
e	r	i	n	true
e	r	i	o	false
e	r	i	p	false
e	r	i	r	false
e	r	i	s	false
e	r	i	t	false
e	r	i	u	false
e	r	i	v	false
e	r	i	x	false
e	r	i	z	false
e	r	i	ș	false
e	r	i	ț	false
e	r	j	-	false
e	r	j	a	true
e	r	j	e	true
e	r	j	i	false
e	r	j	i	true
e	r	j	u	true
e	r	j	ă	true
e	r	k	e	true
e	r	l	-	false
e	r	l	a	true
e	r	l	e	true
e	r	l	i	true
e	r	l	o	true
e	r	l	u	true
e	r	l	â	true
e	r	l	ă	true
e	r	m	-	false
e	r	m	a	false
e	r	m	a	true
e	r	m	e	true
e	r	m	i	false
e	r	m	i	true
e	r	m	n	true
e	r	m	o	false
e	r	m	o	true
e	r	m	u	true
e	r	m	ă	true
e	r	n	-	false
e	r	n	-	true
e	r	n	a	false
e	r	n	a	true
e	r	n	e	false
e	r	n	e	true
e	r	n	i	false
e	r	n	i	true
e	r	n	m	false
e	r	n	o	true
e	r	n	s	false
e	r	n	s	true
e	r	n	u	true
e	r	n	â	false
e	r	n	â	true
e	r	n	ă	false
e	r	n	ă	true
e	r	o	-	false
e	r	o	a	false
e	r	o	b	false
e	r	o	c	false
e	r	o	c	true
e	r	o	d	false
e	r	o	e	false
e	r	o	f	false
e	r	o	f	true
e	r	o	g	false
e	r	o	h	false
e	r	o	i	false
e	r	o	l	false
e	r	o	m	false
e	r	o	n	false
e	r	o	o	false
e	r	o	p	false
e	r	o	r	false
e	r	o	r	true
e	r	o	s	false
e	r	o	s	true
e	r	o	t	false
e	r	o	u	false
e	r	o	v	false
e	r	o	x	false
e	r	o	x	true
e	r	o	z	false
e	r	o	ș	false
e	r	o	ț	false
e	r	p	-	false
e	r	p	a	true
e	r	p	e	true
e	r	p	i	false
e	r	p	i	true
e	r	p	l	true
e	r	p	o	true
e	r	p	r	true
e	r	p	s	true
e	r	p	t	true
e	r	p	u	true
e	r	p	ă	true
e	r	r	a	true
e	r	r	e	true
e	r	r	i	true
e	r	s	-	false
e	r	s	a	true
e	r	s	c	false
e	r	s	c	true
e	r	s	e	false
e	r	s	e	true
e	r	s	h	true
e	r	s	i	true
e	r	s	l	true
e	r	s	o	true
e	r	s	p	true
e	r	s	t	true
e	r	s	u	true
e	r	s	â	true
e	r	s	ă	true
e	r	t	-	false
e	r	t	-	true
e	r	t	a	true
e	r	t	e	true
e	r	t	f	false
e	r	t	i	false
e	r	t	i	true
e	r	t	m	false
e	r	t	o	true
e	r	t	r	true
e	r	t	u	true
e	r	t	z	false
e	r	t	z	true
e	r	t	â	true
e	r	t	ă	true
e	r	u	-	false
e	r	u	a	false
e	r	u	b	false
e	r	u	c	false
e	r	u	d	false
e	r	u	g	false
e	r	u	i	false
e	r	u	l	false
e	r	u	l	true
e	r	u	m	false
e	r	u	n	false
e	r	u	p	false
e	r	u	r	false
e	r	u	r	true
e	r	u	s	false
e	r	u	t	false
e	r	u	u	false
e	r	u	v	false
e	r	u	z	false
e	r	u	ș	false
e	r	u	ț	false
e	r	v	-	false
e	r	v	a	true
e	r	v	e	true
e	r	v	i	false
e	r	v	i	true
e	r	v	o	true
e	r	v	u	true
e	r	v	â	true
e	r	v	ă	true
e	r	z	a	true
e	r	z	e	true
e	r	z	i	false
e	r	z	i	true
e	r	z	l	true
e	r	z	o	true
e	r	z	u	true
e	r	z	â	true
e	r	z	ă	true
e	r	â	d	false
e	r	â	i	false
e	r	â	n	false
e	r	ă	-	false
e	r	ă	b	false
e	r	ă	m	false
e	r	ă	p	false
e	r	ă	r	false
e	r	ă	s	false
e	r	ă	t	false
e	r	ă	v	false
e	r	ă	z	false
e	r	ă	ț	false
e	r	ș	-	false
e	r	ș	a	true
e	r	ș	c	true
e	r	ș	e	true
e	r	ș	i	false
e	r	ș	i	true
e	r	ș	u	true
e	r	ț	-	false
e	r	ț	a	true
e	r	ț	e	true
e	r	ț	i	false
e	r	ț	i	true
e	r	ț	o	true
e	r	ț	u	true
e	r	ț	ă	true
e	s	a	-	false
e	s	a	b	false
e	s	a	c	false
e	s	a	d	false
e	s	a	g	false
e	s	a	i	false
e	s	a	j	false
e	s	a	l	false
e	s	a	m	false
e	s	a	n	false
e	s	a	p	false
e	s	a	r	false
e	s	a	s	false
e	s	a	t	false
e	s	a	u	false
e	s	a	v	false
e	s	a	ș	false
e	s	a	ț	false
e	s	b	i	true
e	s	c	-	false
e	s	c	a	false
e	s	c	a	true
e	s	c	e	true
e	s	c	h	false
e	s	c	h	true
e	s	c	i	false
e	s	c	i	true
e	s	c	l	true
e	s	c	o	false
e	s	c	o	true
e	s	c	r	false
e	s	c	r	true
e	s	c	u	false
e	s	c	u	true
e	s	c	v	true
e	s	c	â	true
e	s	c	ă	false
e	s	c	ă	true
e	s	e	-	false
e	s	e	a	false
e	s	e	c	false
e	s	e	g	false
e	s	e	i	false
e	s	e	l	false
e	s	e	m	false
e	s	e	n	false
e	s	e	o	false
e	s	e	r	false
e	s	e	s	false
e	s	e	t	false
e	s	e	t	true
e	s	e	u	false
e	s	e	v	false
e	s	e	z	false
e	s	e	ș	false
e	s	e	ț	false
e	s	f	a	true
e	s	f	e	true
e	s	f	i	true
e	s	f	o	true
e	s	f	r	true
e	s	f	u	true
e	s	f	â	false
e	s	f	â	true
e	s	f	ă	false
e	s	f	ă	true
e	s	g	a	true
e	s	h	a	false
e	s	h	i	false
e	s	h	u	false
e	s	h	ă	false
e	s	i	-	false
e	s	i	a	false
e	s	i	b	false
e	s	i	c	false
e	s	i	d	false
e	s	i	e	false
e	s	i	g	false
e	s	i	i	false
e	s	i	l	false
e	s	i	m	false
e	s	i	n	false
e	s	i	o	false
e	s	i	r	false
e	s	i	s	false
e	s	i	t	false
e	s	i	u	false
e	s	i	v	false
e	s	i	z	false
e	s	i	ș	false
e	s	i	ț	false
e	s	k	e	true
e	s	l	a	true
e	s	l	e	false
e	s	l	e	true
e	s	l	u	true
e	s	l	ă	true
e	s	m	a	true
e	s	m	e	true
e	s	m	i	false
e	s	m	i	true
e	s	m	o	true
e	s	m	u	true
e	s	m	â	true
e	s	m	ă	true
e	s	n	e	true
e	s	n	i	true
e	s	o	-	false
e	s	o	a	false
e	s	o	c	false
e	s	o	d	false
e	s	o	f	false
e	s	o	h	false
e	s	o	l	false
e	s	o	m	false
e	s	o	n	false
e	s	o	p	false
e	s	o	r	false
e	s	o	s	false
e	s	o	t	false
e	s	p	a	false
e	s	p	a	true
e	s	p	e	false
e	s	p	e	true
e	s	p	i	false
e	s	p	i	true
e	s	p	l	true
e	s	p	o	false
e	s	p	o	true
e	s	p	r	false
e	s	p	r	true
e	s	p	u	false
e	s	p	u	true
e	s	p	ă	false
e	s	p	ă	true
e	s	s	i	false
e	s	s	i	true
e	s	s	u	true
e	s	t	-	false
e	s	t	a	false
e	s	t	a	true
e	s	t	e	false
e	s	t	e	true
e	s	t	f	false
e	s	t	g	false
e	s	t	i	false
e	s	t	i	true
e	s	t	n	false
e	s	t	o	false
e	s	t	o	true
e	s	t	r	false
e	s	t	r	true
e	s	t	u	false
e	s	t	u	true
e	s	t	â	true
e	s	t	ă	false
e	s	t	ă	true
e	s	u	-	false
e	s	u	a	false
e	s	u	b	false
e	s	u	c	false
e	s	u	d	false
e	s	u	e	false
e	s	u	f	false
e	s	u	i	false
e	s	u	l	false
e	s	u	p	false
e	s	u	r	false
e	s	u	s	false
e	s	u	t	false
e	s	u	ș	false
e	s	u	ț	false
e	s	v	e	true
e	s	z	ă	true
e	s	â	n	false
e	s	ă	-	false
e	s	ă	b	false
e	s	ă	d	false
e	s	ă	g	false
e	s	ă	l	false
e	s	ă	m	false
e	s	ă	n	false
e	s	ă	r	false
e	s	ă	t	false
e	s	ă	v	false
e	s	ă	ț	false
e	s	ș	p	true
e	s	ț	e	true
e	s	ț	i	false
e	t	a	-	false
e	t	a	a	false
e	t	a	b	false
e	t	a	c	false
e	t	a	c	true
e	t	a	d	false
e	t	a	e	false
e	t	a	f	false
e	t	a	g	false
e	t	a	h	false
e	t	a	i	false
e	t	a	j	false
e	t	a	l	false
e	t	a	l	true
e	t	a	m	false
e	t	a	m	true
e	t	a	n	false
e	t	a	p	false
e	t	a	r	false
e	t	a	s	false
e	t	a	t	false
e	t	a	u	false
e	t	a	v	false
e	t	a	v	true
e	t	a	x	false
e	t	a	z	false
e	t	a	z	true
e	t	a	ș	false
e	t	a	ț	false
e	t	b	a	true
e	t	b	e	true
e	t	b	o	true
e	t	c	a	true
e	t	c	e	true
e	t	c	i	false
e	t	c	i	true
e	t	c	o	true
e	t	c	u	true
e	t	c	ă	true
e	t	e	-	false
e	t	e	-	true
e	t	e	a	false
e	t	e	c	false
e	t	e	d	false
e	t	e	g	false
e	t	e	h	false
e	t	e	i	false
e	t	e	j	false
e	t	e	l	false
e	t	e	l	true
e	t	e	m	false
e	t	e	n	false
e	t	e	n	true
e	t	e	o	false
e	t	e	r	false
e	t	e	s	false
e	t	e	t	false
e	t	e	u	false
e	t	e	v	false
e	t	e	x	false
e	t	e	z	false
e	t	e	ș	false
e	t	e	ț	false
e	t	f	o	true
e	t	h	o	false
e	t	i	-	false
e	t	i	a	false
e	t	i	c	false
e	t	i	d	false
e	t	i	e	false
e	t	i	f	false
e	t	i	g	false
e	t	i	i	false
e	t	i	l	false
e	t	i	m	false
e	t	i	n	false
e	t	i	o	false
e	t	i	p	false
e	t	i	r	false
e	t	i	s	false
e	t	i	t	false
e	t	i	v	false
e	t	i	z	false
e	t	i	ș	false
e	t	i	ț	false
e	t	l	e	true
e	t	l	i	false
e	t	l	u	false
e	t	m	o	true
e	t	n	a	true
e	t	n	i	true
e	t	n	o	true
e	t	o	-	false
e	t	o	a	false
e	t	o	b	false
e	t	o	c	false
e	t	o	d	false
e	t	o	e	false
e	t	o	f	false
e	t	o	g	false
e	t	o	h	false
e	t	o	i	false
e	t	o	l	false
e	t	o	m	false
e	t	o	n	false
e	t	o	n	true
e	t	o	o	false
e	t	o	p	false
e	t	o	r	false
e	t	o	s	false
e	t	o	t	false
e	t	o	u	false
e	t	o	x	false
e	t	o	z	false
e	t	o	ș	false
e	t	o	ț	false
e	t	r	a	false
e	t	r	e	false
e	t	r	i	false
e	t	r	o	false
e	t	r	u	false
e	t	r	â	false
e	t	r	ă	false
e	t	t	o	true
e	t	u	a	false
e	t	u	b	false
e	t	u	d	false
e	t	u	e	false
e	t	u	f	false
e	t	u	i	false
e	t	u	l	false
e	t	u	l	true
e	t	u	m	false
e	t	u	n	false
e	t	u	o	false
e	t	u	p	false
e	t	u	r	false
e	t	u	s	false
e	t	u	t	false
e	t	u	u	false
e	t	u	v	false
e	t	u	â	false
e	t	u	ă	false
e	t	u	ș	false
e	t	u	ț	false
e	t	â	n	false
e	t	ă	-	false
e	t	ă	b	false
e	t	ă	c	false
e	t	ă	g	false
e	t	ă	i	false
e	t	ă	l	false
e	t	ă	m	false
e	t	ă	n	false
e	t	ă	r	false
e	t	ă	t	false
e	t	ă	u	false
e	t	ă	ș	false
e	t	ă	ț	false
e	u	a	-	false
e	u	a	-	true
e	u	a	i	false
e	u	a	m	false
e	u	a	r	false
e	u	a	s	false
e	u	a	t	false
e	u	a	u	false
e	u	a	ș	false
e	u	a	ț	false
e	u	c	a	true
e	u	c	e	true
e	u	c	i	false
e	u	c	i	true
e	u	c	l	true
e	u	c	o	true
e	u	c	r	true
e	u	c	u	true
e	u	c	ă	true
e	u	d	a	false
e	u	d	a	true
e	u	d	e	true
e	u	d	i	true
e	u	d	o	true
e	u	d	â	true
e	u	d	ă	true
e	u	e	a	false
e	u	e	z	false
e	u	f	e	true
e	u	f	o	true
e	u	f	u	true
e	u	g	a	true
e	u	g	e	true
e	u	g	l	true
e	u	g	m	false
e	u	g	ă	true
e	u	h	-	false
e	u	h	a	true
e	u	h	e	true
e	u	h	u	true
e	u	i	a	true
e	u	i	e	true
e	u	i	n	true
e	u	i	t	false
e	u	l	-	false
e	u	l	-	true
e	u	l	d	false
e	u	l	e	true
e	u	l	f	false
e	u	l	i	true
e	u	l	p	false
e	u	l	u	true
e	u	l	ă	true
e	u	m	-	false
e	u	m	a	true
e	u	m	b	false
e	u	m	e	true
e	u	m	o	true
e	u	m	p	false
e	u	m	u	true
e	u	m	ă	true
e	u	n	-	false
e	u	n	a	true
e	u	n	d	false
e	u	n	e	true
e	u	n	i	true
e	u	n	o	true
e	u	n	u	true
e	u	n	â	true
e	u	n	ă	true
e	u	o	c	true
e	u	p	a	true
e	u	p	e	true
e	u	p	l	true
e	u	p	n	true
e	u	r	-	false
e	u	r	a	false
e	u	r	a	true
e	u	r	d	false
e	u	r	e	true
e	u	r	g	false
e	u	r	i	false
e	u	r	i	true
e	u	r	o	true
e	u	r	s	false
e	u	r	u	true
e	u	r	ă	true
e	u	s	-	false
e	u	s	e	true
e	u	s	i	true
e	u	s	t	false
e	u	s	t	true
e	u	s	u	true
e	u	t	-	false
e	u	t	a	true
e	u	t	e	true
e	u	t	i	true
e	u	t	o	true
e	u	t	r	true
e	u	t	u	true
e	u	t	ă	true
e	u	u	a	true
e	u	x	i	true
e	u	z	a	true
e	u	z	e	true
e	u	z	i	true
e	u	z	ă	true
e	u	â	n	false
e	u	ă	-	false
e	u	ă	m	false
e	u	ș	e	true
e	u	ș	i	true
e	u	ș	o	true
e	u	ș	t	false
e	u	ț	-	false
e	u	ț	a	true
e	u	ț	e	true
e	u	ț	i	false
e	u	ț	i	true
e	u	ț	u	true
e	u	ț	ă	true
e	v	a	-	false
e	v	a	b	false
e	v	a	c	false
e	v	a	d	false
e	v	a	i	false
e	v	a	l	false
e	v	a	m	false
e	v	a	n	false
e	v	a	p	false
e	v	a	r	false
e	v	a	s	false
e	v	a	t	false
e	v	a	u	false
e	v	a	z	false
e	v	a	ș	false
e	v	a	ț	false
e	v	e	-	false
e	v	e	a	false
e	v	e	c	false
e	v	e	d	false
e	v	e	e	false
e	v	e	i	false
e	v	e	l	false
e	v	e	n	false
e	v	e	r	false
e	v	e	s	false
e	v	e	t	false
e	v	e	u	false
e	v	e	z	false
e	v	e	ș	false
e	v	g	h	true
e	v	i	-	false
e	v	i	a	false
e	v	i	c	false
e	v	i	d	false
e	v	i	e	false
e	v	i	f	false
e	v	i	g	false
e	v	i	i	false
e	v	i	l	false
e	v	i	m	false
e	v	i	n	false
e	v	i	o	false
e	v	i	r	false
e	v	i	s	false
e	v	i	t	false
e	v	i	u	false
e	v	i	v	false
e	v	i	z	false
e	v	i	ș	false
e	v	i	ț	false
e	v	l	a	false
e	v	l	e	false
e	v	l	ă	false
e	v	m	e	true
e	v	o	a	false
e	v	o	c	false
e	v	o	d	false
e	v	o	g	false
e	v	o	i	false
e	v	o	l	false
e	v	o	n	false
e	v	o	p	false
e	v	o	r	false
e	v	o	s	false
e	v	o	t	false
e	v	o	z	false
e	v	o	ș	false
e	v	o	ț	false
e	v	r	a	false
e	v	r	e	false
e	v	r	i	false
e	v	r	o	false
e	v	r	u	false
e	v	r	â	false
e	v	r	ă	false
e	v	u	i	false
e	v	u	l	false
e	v	u	r	false
e	v	u	ș	false
e	v	z	e	true
e	v	â	n	false
e	v	â	r	false
e	v	ă	-	false
e	v	ă	d	false
e	v	ă	l	false
e	v	ă	m	false
e	v	ă	n	false
e	v	ă	r	false
e	v	ă	s	false
e	v	ă	t	false
e	v	ă	z	false
e	w	t	o	true
e	w	y	o	true
e	x	a	-	false
e	x	a	c	false
e	x	a	c	true
e	x	a	e	false
e	x	a	g	false
e	x	a	i	false
e	x	a	l	false
e	x	a	m	false
e	x	a	n	false
e	x	a	p	false
e	x	a	r	false
e	x	a	r	true
e	x	a	s	false
e	x	a	t	false
e	x	a	u	false
e	x	a	u	true
e	x	a	v	false
e	x	a	ș	false
e	x	a	ț	false
e	x	c	a	true
e	x	c	e	true
e	x	c	i	true
e	x	c	l	true
e	x	c	o	true
e	x	c	r	true
e	x	c	u	true
e	x	e	-	false
e	x	e	a	false
e	x	e	c	false
e	x	e	d	false
e	x	e	g	false
e	x	e	i	false
e	x	e	l	false
e	x	e	m	false
e	x	e	q	false
e	x	e	r	false
e	x	e	z	false
e	x	f	i	true
e	x	f	o	true
e	x	h	a	true
e	x	h	i	true
e	x	h	u	true
e	x	i	a	false
e	x	i	b	false
e	x	i	c	false
e	x	i	e	false
e	x	i	f	false
e	x	i	g	false
e	x	i	i	false
e	x	i	l	false
e	x	i	m	false
e	x	i	n	false
e	x	i	o	false
e	x	i	s	false
e	x	i	t	false
e	x	i	u	false
e	x	i	v	false
e	x	i	ș	false
e	x	m	a	true
e	x	m	i	true
e	x	o	a	false
e	x	o	b	false
e	x	o	c	false
e	x	o	d	false
e	x	o	d	true
e	x	o	e	false
e	x	o	f	false
e	x	o	f	true
e	x	o	g	false
e	x	o	l	false
e	x	o	m	false
e	x	o	n	false
e	x	o	n	true
e	x	o	p	false
e	x	o	r	false
e	x	o	r	true
e	x	o	s	false
e	x	o	s	true
e	x	o	t	false
e	x	o	z	false
e	x	p	a	true
e	x	p	e	true
e	x	p	i	true
e	x	p	l	true
e	x	p	o	false
e	x	p	o	true
e	x	p	r	true
e	x	p	u	true
e	x	s	a	true
e	x	s	e	true
e	x	s	i	true
e	x	s	t	true
e	x	s	u	true
e	x	t	-	false
e	x	t	a	true
e	x	t	e	true
e	x	t	i	true
e	x	t	o	true
e	x	t	r	true
e	x	t	u	true
e	x	t	â	true
e	x	t	ă	true
e	x	u	a	false
e	x	u	b	false
e	x	u	l	false
e	x	u	l	true
e	x	u	o	false
e	x	u	p	false
e	x	u	r	false
e	x	u	v	false
e	x	y	-	false
e	x	â	n	false
e	x	î	n	false
e	x	î	n	true
e	x	ă	-	false
e	x	ă	m	false
e	x	ă	r	false
e	y	l	o	true
e	y	n	e	true
e	z	a	-	false
e	z	a	b	false
e	z	a	b	true
e	z	a	c	false
e	z	a	c	true
e	z	a	d	false
e	z	a	d	true
e	z	a	e	false
e	z	a	e	true
e	z	a	f	false
e	z	a	f	true
e	z	a	g	false
e	z	a	g	true
e	z	a	h	false
e	z	a	i	false
e	z	a	j	false
e	z	a	l	false
e	z	a	l	true
e	z	a	m	false
e	z	a	m	true
e	z	a	n	false
e	z	a	n	true
e	z	a	p	false
e	z	a	p	true
e	z	a	r	false
e	z	a	r	true
e	z	a	s	false
e	z	a	s	true
e	z	a	t	false
e	z	a	u	false
e	z	a	v	false
e	z	a	v	true
e	z	a	x	false
e	z	a	x	true
e	z	a	ș	false
e	z	a	ț	false
e	z	b	a	true
e	z	b	e	true
e	z	b	i	true
e	z	b	o	true
e	z	b	r	true
e	z	b	u	true
e	z	b	â	true
e	z	b	ă	true
e	z	d	o	true
e	z	d	r	false
e	z	d	r	true
e	z	d	ă	true
e	z	e	-	false
e	z	e	a	false
e	z	e	c	false
e	z	e	c	true
e	z	e	d	false
e	z	e	i	false
e	z	e	l	false
e	z	e	m	false
e	z	e	m	true
e	z	e	n	false
e	z	e	n	true
e	z	e	r	false
e	z	e	r	true
e	z	e	s	false
e	z	e	s	true
e	z	e	t	false
e	z	e	u	false
e	z	e	v	false
e	z	e	x	false
e	z	e	x	true
e	z	e	z	false
e	z	e	ș	false
e	z	g	h	true
e	z	g	o	true
e	z	g	r	true
e	z	g	u	true
e	z	g	ă	true
e	z	i	-	false
e	z	i	a	false
e	z	i	c	false
e	z	i	d	false
e	z	i	d	true
e	z	i	e	false
e	z	i	f	false
e	z	i	i	false
e	z	i	l	false
e	z	i	l	true
e	z	i	m	false
e	z	i	n	false
e	z	i	n	true
e	z	i	o	false
e	z	i	o	true
e	z	i	r	false
e	z	i	s	false
e	z	i	t	false
e	z	i	u	false
e	z	i	v	false
e	z	i	ș	false
e	z	i	ț	false
e	z	l	e	true
e	z	l	i	true
e	z	l	o	true
e	z	l	â	true
e	z	l	ă	true
e	z	m	a	true
e	z	m	e	true
e	z	m	i	true
e	z	m	o	true
e	z	m	â	true
e	z	m	ă	true
e	z	n	a	true
e	z	n	e	true
e	z	n	i	true
e	z	n	o	true
e	z	n	ă	true
e	z	o	-	false
e	z	o	a	false
e	z	o	b	false
e	z	o	b	true
e	z	o	c	false
e	z	o	d	false
e	z	o	d	true
e	z	o	e	false
e	z	o	f	false
e	z	o	g	false
e	z	o	i	false
e	z	o	l	false
e	z	o	m	false
e	z	o	n	false
e	z	o	n	true
e	z	o	o	false
e	z	o	p	false
e	z	o	p	true
e	z	o	r	false
e	z	o	r	true
e	z	o	s	false
e	z	o	s	true
e	z	o	t	false
e	z	o	x	false
