b20	a03	syl
co	coț	true
co	cra	true
co	cre	true
co	cs-	false
co	csa	false
co	cse	false
co	csi	false
co	cso	false
co	csu	false
co	csă	false
co	ct-	false
co	cte	false
co	ctu	false
co	cul	true
co	cur	true
co	cuț	true
co	cân	true
co	câr	true
co	că-	true
co	căa	true
co	căi	true
co	căt	true
co	cți	false
co	d--	false
co	da-	true
co	dab	true
co	dac	true
co	dai	true
co	daj	true
co	dal	false
co	dal	true
co	dam	true
co	dan	true
co	dar	true
co	das	true
co	dat	true
co	dau	true
co	daș	true
co	daț	true
co	de-	true
co	dea	true
co	deb	true
co	dei	true
co	del	true
co	den	true
co	der	true
co	des	true
co	dex	true
co	dez	true
co	deș	true
co	deț	true
co	di-	true
co	dic	true
co	dif	true
co	dii	true
co	dil	true
co	dim	true
co	din	true
co	dir	true
co	dis	true
co	dit	true
co	diș	true
co	diț	true
co	doa	true
co	dob	true
co	dom	true
co	don	true
co	dor	true
co	doș	true
co	dre	true
co	dri	true
co	dro	false
co	dro	true
co	dru	true
co	dul	true
co	dur	true
co	duș	true
co	dân	true
co	dâr	true
co	dă-	true
co	dăc	true
co	dăl	false
co	dăl	true
co	dăm	true
co	dăn	true
co	dăr	true
co	ech	true
co	edi	true
co	edu	true
co	efi	true
co	ela	true
co	emp	true
co	enz	true
co	erc	true
co	ere	true
co	eri	true
co	ero	true
co	eto	true
co	exi	true
co	ext	true
co	ezi	true
co	f--	false
co	fa-	true
co	fag	true
co	fal	true
co	fan	true
co	far	true
co	fe-	true
co	fei	true
co	fel	true
co	fen	true
co	fer	true
co	fet	true
co	fil	true
co	fin	true
co	fit	true
co	fiz	true
co	fiț	true
co	fle	true
co	flo	true
co	fob	true
co	foc	true
co	fon	true
co	for	true
co	fra	true
co	fre	true
co	frâ	true
co	fră	true
co	ful	true
co	fâl	true
co	fă-	true
co	făi	true
co	gea	true
co	gen	true
co	geo	true
co	ges	true
co	git	true
co	gmo	false
co	gna	false
co	gni	false
co	gno	false
co	gra	true
co	hal	true
co	hip	true
co	hle	true
co	hor	true
co	i--	false
co	i--	true
co	ia-	true
co	iai	true
co	iam	true
co	ias	true
co	iau	true
co	iaș	true
co	iaț	true
co	ica	false
co	ici	false
co	icu	false
co	ică	false
co	id-	true
co	ida	true
co	ide	true
co	idi	true
co	idu	true
co	idă	true
co	ies	true
co	ieș	true
co	if-	false
co	ifu	false
co	ii-	true
co	ilo	false
co	ilo	true
co	im-	true
co	ime	true
co	imi	true
co	inc	false
co	inc	true
co	ind	true
co	ins	false
co	int	false
co	iot	true
co	ioț	true
co	ir-	false
co	iru	false
co	iră	true
co	ise	true
co	ism	true
co	it-	true
co	ite	true
co	iti	true
co	itu	true
co	ită	true
co	iul	false
co	iul	true
co	izi	true
co	iși	true
co	iți	true
co	j--	false
co	jea	true
co	jel	true
co	jes	true
co	jeș	true
co	ji-	false
co	ji-	true
co	jie	true
co	jii	true
co	jil	true
co	jim	true
co	jin	true
co	jir	true
co	jis	true
co	jit	true
co	jiu	true
co	jiș	true
co	jiț	true
co	joa	true
co	joc	true
co	jul	true
co	l--	false
co	la-	true
co	lab	true
co	lac	true
co	lad	true
co	lag	true
co	lai	true
co	laj	true
co	lal	true
co	lam	true
co	lan	true
co	lap	true
co	lar	false
co	lar	true
co	las	true
co	lat	true
co	lau	true
co	laș	true
co	laț	true
co	lb-	false
co	lbe	false
co	lbu	false
co	lbă	false
co	lce	false
co	lch	false
co	lco	false
co	lcă	false
co	le-	true
co	lea	true
co	lec	true
co	led	true
co	leg	true
co	lei	true
co	lel	true
co	lem	false
co	lem	true
co	len	false
co	len	true
co	leo	true
co	lep	true
co	ler	false
co	ler	true
co	les	true
co	let	true
co	lex	true
co	lez	true
co	leș	true
co	lho	false
co	li-	false
co	li-	true
co	lia	true
co	lib	true
co	lic	true
co	lid	true
co	lie	true
co	lig	true
co	lii	true
co	lil	true
co	lim	true
co	lin	true
co	lio	true
co	lir	true
co	lis	true
co	lit	true
co	liv	true
co	liz	true
co	liș	true
co	liț	true
co	lli	false
co	lma	false
co	lme	false
co	lna	false
co	lne	false
co	lni	false
co	lnă	false
co	lo-	true
co	loa	true
co	lob	true
co	loc	true
co	lod	true
co	lof	true
co	log	true
co	loi	true
co	lom	true
co	lon	true
co	lop	true
co	lor	true
co	los	true
co	lot	true
co	lou	true
co	loș	true
co	lpi	false
co	lpo	false
co	lt-	false
co	lta	false
co	lte	false
co	ltu	false
co	ltâ	false
co	ltă	false
co	lub	true
co	lul	true
co	lum	true
co	lun	true
co	lur	true
co	lut	true
co	luv	true
co	luz	true
co	lân	true
co	lă-	true
co	lăc	true
co	lăm	true
co	lăr	true
co	lăt	true
co	lț-	false
co	lța	false
co	lțe	false
co	lți	false
co	lțo	false
co	lțu	false
co	m--	false
co	ma-	true
co	mal	true
co	man	true
co	mar	true
co	mas	true
co	mat	true
co	maț	true
co	mb-	false
co	mba	false
co	mbe	false
co	mbi	false
co	mbo	false
co	mbr	false
co	mbu	false
co	mbâ	false
co	mbă	false
co	me-	true
co	mea	true
co	med	true
co	mei	true
co	mel	true
co	mem	true
co	men	true
co	mer	true
co	mes	true
co	met	true
co	meș	true
co	mi-	false
co	mi-	true
co	mia	true
co	mic	true
co	mid	true
co	mie	true
co	mii	true
co	mil	true
co	mim	true
co	min	true
co	mio	true
co	mir	true
co	mis	true
co	mit	true
co	miz	true
co	miș	true
co	miț	true
co	mmo	false
co	moa	true
co	mob	true
co	mod	true
co	mof	true
co	mon	true
co	mor	true
co	mos	true
co	mot	true
co	moz	true
co	moș	true
co	moț	true
co	mpa	false
co	mpe	false
co	mpi	false
co	mpl	false
co	mpo	false
co	mpr	false
co	mpu	false
co	mpă	false
co	mso	false
co	mul	true
co	mun	true
co	mur	true
co	mut	true
co	muț	true
co	mân	true
co	mă-	true
co	măn	true
co	n--	false
co	na-	true
co	nab	true
co	nac	true
co	nad	true
co	nai	true
co	naj	true
co	nam	true
co	nar	true
co	nas	true
co	nat	true
co	nau	true
co	naș	true
co	naț	true
co	nca	false
co	nce	false
co	nch	false
co	nci	false
co	ncl	false
co	nco	false
co	ncr	false
co	ncs	false
co	ncu	false
co	ncă	false
co	ncș	false
co	nd-	false
co	nda	false
co	nde	false
co	ndi	false
co	ndo	false
co	ndr	false
co	ndu	false
co	ndă	false
co	ne-	true
co	nea	true
co	nec	true
co	nei	true
co	nel	true
co	nes	true
co	net	true
co	nex	true
co	nez	true
co	neș	true
co	neț	true
co	nfa	false
co	nfe	false
co	nfi	false
co	nfl	false
co	nfo	false
co	nfr	false
co	nfu	false
co	nga	false
co	nge	false
co	ngi	false
co	ngl	false
co	ngo	false
co	ngr	false
co	ni-	false
co	ni-	true
co	nia	true
co	nic	true
co	nid	true
co	nie	true
co	nif	true
co	nii	true
co	nil	true
co	nim	true
co	nin	true
co	nio	true
co	nir	true
co	nis	true
co	nit	true
co	niu	true
co	niv	true
co	niz	true
co	niș	true
co	niț	true
co	nje	false
co	njo	false
co	nju	false
co	nlo	false
co	nlu	false
co	noa	true
co	noc	true
co	nod	true
co	nog	true
co	noi	true
co	nol	true
co	nom	true
co	nop	true
co	nor	true
co	nos	true
co	not	true
co	nov	true
co	ns-	false
co	nsa	false
co	nsc	false
co	nse	false
co	nsf	false
co	nsi	false
co	nso	false
co	nsp	false
co	nst	false
co	nsu	false
co	nsâ	false
co	nsă	false
co	nt-	false
co	nta	false
co	nte	false
co	nti	false
co	nto	false
co	ntr	false
co	ntu	false
co	ntâ	false
co	ntă	false
co	nub	true
co	nul	true
co	nur	false
co	nur	true
co	nva	false
co	nve	false
co	nvi	false
co	nvo	false
co	nvu	false
co	nzi	false
co	nân	true
co	nă-	true
co	năc	true
co	năm	true
co	nșc	false
co	nși	false
co	nșt	false
co	nț-	false
co	nți	false
co	nțo	false
co	nțu	false
co	obl	true
co	ocu	true
co	ol-	true
co	ola	true
co	ole	true
co	oli	true
co	olm	true
co	olo	true
co	olt	true
co	olu	true
co	ope	true
co	opt	true
co	ord	true
co	ori	true
co	p--	false
co	pa-	true
co	pac	true
co	pai	true
co	paj	true
co	pal	true
co	pam	true
co	pan	true
co	par	true
co	pas	true
co	pat	true
co	pau	true
co	paș	true
co	paț	true
co	pca	false
co	pce	false
co	pci	false
co	pcă	false
co	pe-	true
co	pea	true
co	ped	true
co	pee	true
co	pei	true
co	pel	true
co	pen	true
co	pep	true
co	per	true
co	pes	true
co	pez	true
co	peș	true
co	pi-	false
co	pi-	true
co	pia	true
co	pic	false
co	pic	true
co	pie	true
co	pif	true
co	pii	true
co	pil	true
co	pim	true
co	pin	true
co	pio	true
co	pir	true
co	pis	true
co	pit	true
co	piș	true
co	piț	true
co	pla	true
co	ple	true
co	poc	true
co	pod	true
co	poi	true
co	pol	true
co	por	true
co	pos	true
co	pra	true
co	pre	true
co	pri	true
co	pro	true
co	pră	true
co	ps-	false
co	pse	false
co	psi	false
co	psu	false
co	pt-	false
co	pta	false
co	pte	false
co	pte	true
co	pto	false
co	ptu	false
co	ptă	false
co	pul	true
co	pur	true
co	pân	true
co	pâr	true
co	pă-	true
co	păc	true
co	păi	true
co	păm	true
co	păr	true
co	pți	false
co	r--	false
co	ra-	true
co	rab	true
co	rac	true
co	rai	true
co	raj	true
co	ral	true
co	ram	true
co	ran	true
co	rap	true
co	rar	true
co	ras	true
co	rat	true
co	rau	true
co	raz	true
co	raș	true
co	raț	true
co	rb-	false
co	rba	false
co	rbd	false
co	rbe	false
co	rbi	false
co	rbo	false
co	rbu	false
co	rce	false
co	rch	false
co	rci	false
co	rco	false
co	rd-	false
co	rda	false
co	rde	false
co	rdi	false
co	rdm	false
co	rdo	false
co	rdu	false
co	rdâ	false
co	rdă	false
co	re-	true
co	rea	true
co	rec	false
co	rec	true
co	red	true
co	ree	true
co	ref	true
co	reg	true
co	rei	true
co	rel	true
co	rem	true
co	reo	true
co	rep	true
co	rer	true
co	res	true
co	ret	true
co	reu	true
co	rez	true
co	reș	true
co	reț	true
co	rfa	false
co	rfe	false
co	rfi	false
co	rfă	false
co	rha	false
co	rhă	false
co	ri-	false
co	ri-	true
co	ria	true
co	rib	true
co	rid	true
co	rie	true
co	rif	true
co	rig	true
co	rii	true
co	rij	true
co	ril	true
co	rim	true
co	rin	true
co	rio	true
co	rir	true
co	ris	true
co	rit	true
co	riu	true
co	riz	true
co	riș	true
co	riț	true
co	rla	false
co	rle	false
co	rli	false
co	rlă	false
co	rm-	false
co	rma	false
co	rmo	false
co	rmu	false
co	rn-	false
co	rna	false
co	rnd	false
co	rne	false
co	rni	false
co	rno	false
co	rnu	false
co	rnă	false
co	roa	true
co	rob	true
co	rod	true
co	rog	true
co	roi	true
co	roj	true
co	rol	true
co	rom	true
co	ron	true
co	rop	true
co	ros	true
co	rot	true
co	roz	true
co	roș	true
co	rp-	false
co	rpe	false
co	rpi	false
co	rpo	false
co	rpu	false
co	rri	false
co	rsa	false
co	rse	false
co	rsi	false
co	rt-	false
co	rta	false
co	rte	false
co	rti	false
co	rto	false
co	rtu	false
co	rtâ	false
co	rtă	false
co	rug	true
co	rul	true
co	rum	true
co	run	true
co	rup	true
co	rur	true
co	rus	true
co	rut	true
co	ruș	true
co	rva	false
co	rve	false
co	rvi	false
co	rvo	false
co	rzi	false
co	rân	true
co	ră-	true
co	răb	true
co	răm	true
co	răr	true
co	răs	true
co	rșa	false
co	rșe	false
co	rșâ	false
co	rșă	false
co	rța	false
co	rți	false
co	rțo	false
co	rță	false
co	s--	false
co	sa-	true
co	sac	true
co	sae	true
co	saf	true
co	san	true
co	sar	true
co	saș	true
co	sce	false
co	sco	false
co	se-	true
co	sea	true
co	sec	true
co	sei	true
co	sel	true
co	sem	true
co	ses	true
co	sez	true
co	seș	true
co	sfe	false
co	si-	false
co	si-	true
co	sia	true
co	sic	true
co	sie	true
co	sii	true
co	sim	true
co	sin	true
co	sir	true
co	sis	true
co	sit	true
co	siș	true
co	siț	true
co	sm-	false
co	sma	false
co	sme	false
co	smi	false
co	smo	false
co	smu	false
co	so-	true
co	soa	true
co	soi	true
co	sol	true
co	son	true
co	sor	true
co	spe	false
co	spo	false
co	spo	true
co	st-	false
co	sta	false
co	sta	true
co	ste	false
co	ste	true
co	sti	false
co	sto	false
co	str	false
co	str	true
co	stu	false
co	stâ	false
co	stâ	true
co	stă	false
co	sul	true
co	sup	true
co	sân	true
co	să-	true
co	săc	true
co	t--	false
co	ta-	true
co	tai	true
co	taj	true
co	tam	true
co	tan	true
co	tap	true
co	tar	true
co	tas	true
co	tat	true
co	tau	true
co	tax	true
co	taș	true
co	taț	true
co	tco	false
co	te-	true
co	tea	true
co	tec	true
co	tei	true
co	tel	true
co	ten	true
co	tep	true
co	ter	true
co	tes	true
co	tez	true
co	teș	true
co	teț	true
co	ti-	true
co	tic	true
co	tid	true
co	tie	true
co	tig	true
co	tii	true
co	til	true
co	tim	true
co	tin	true
co	tip	true
co	tir	true
co	tis	true
co	tit	true
co	tiz	true
co	tiș	true
co	tiț	true
co	tle	true
co	tlo	true
co	toa	true
co	toc	true
co	toi	true
co	tol	true
co	tom	true
co	ton	true
co	tor	true
co	tos	true
co	tox	true
co	toș	true
co	tra	true
co	tre	true
co	tro	true
co	tru	true
co	tul	true
co	tur	true
co	tut	true
co	tân	true
co	tă-	true
co	tăm	true
co	tăp	true
co	tăr	true
co	u--	false
co	ul-	true
co	ulo	false
co	ulu	true
co	uri	true
co	v--	false
co	va-	true
co	vac	true
co	val	true
co	van	true
co	var	true
co	vat	true
co	ve-	true
co	vea	true
co	vei	true
co	vel	true
co	ven	true
co	ver	true
co	ves	true
co	vet	true
co	veș	true
co	veț	true
co	vi-	false
co	vi-	true
co	via	true
co	vie	true
co	vig	true
co	vii	true
co	vil	true
co	vim	true
co	vin	true
co	vir	true
co	vis	true
co	vit	true
co	viu	true
co	viș	true
co	viț	true
co	vni	false
co	voa	true
co	voi	true
co	vor	true
co	vri	true
co	vru	true
co	vul	true
co	vur	true
co	vâr	true
co	vă-	true
co	văc	true
co	văl	true
co	văr	true
co	văs	true
co	văț	true
co	xa-	true
co	xal	false
co	xal	true
co	xan	true
co	xar	true
co	xe-	true
co	xei	true
co	xel	true
co	xid	true
co	xit	true
co	xiz	true
co	xof	true
co	xop	true
co	xă-	true
co	z--	false
co	za-	true
co	ze-	true
co	zei	true
co	zel	true
co	zer	true
co	zi-	false
co	zid	true
co	zie	true
co	zii	true
co	zil	true
co	zim	true
co	zin	true
co	zit	true
co	zon	true
co	zor	true
co	zul	true
co	zur	false
co	zur	true
co	ză-	true
co	ș--	false
co	șa-	true
co	șai	true
co	șam	true
co	șar	true
co	șas	true
co	șat	true
co	șau	true
co	șav	false
co	șav	true
co	șaș	true
co	șaț	true
co	șca	false
co	șci	false
co	șco	false
co	șde	false
co	șe-	true
co	șea	true
co	șei	true
co	șel	true
co	șen	true
co	șes	true
co	șeu	true
co	șez	true
co	șeș	true
co	șgh	false
co	și-	false
co	și-	true
co	șic	true
co	șid	true
co	șii	true
co	șil	true
co	șim	true
co	șin	true
co	șir	true
co	șis	true
co	șit	true
co	șiș	true
co	șiț	true
co	șma	false
co	șme	false
co	șmă	false
co	șne	false
co	șni	false
co	șol	true
co	șsă	false
co	ște	false
co	ști	false
co	șto	false
co	șul	true
co	șur	true
co	șân	true
co	șă-	true
co	șăm	true
co	șăr	true
co	șăt	true
co	ț--	false
co	ța-	true
co	țai	true
co	țam	true
co	țar	true
co	țas	true
co	țat	true
co	țau	true
co	țaș	true
co	țaț	true
co	țca	false
co	țce	false
co	țcă	false
co	țea	true
co	ței	true
co	țel	true
co	ți-	false
co	ția	true
co	ție	true
co	ții	true
co	țil	true
co	țof	true
co	țân	true
co	ță-	true
co	țăm	true
cp	ac-	false
cp	aia	false
cp	aie	false
cp	oc-	false
cq	uer	false
cr	a--	false
cr	ab-	false
cr	aba	false
cr	abi	false
cr	abo	false
cr	abu	false
cr	abă	false
cr	ac-	false
cr	aca	false
cr	ach	false
cr	aci	false
cr	aco	false
cr	acu	false
cr	acâ	false
cr	acă	false
cr	ada	false
cr	ade	false
cr	adă	false
cr	afl	false
cr	aft	false
cr	ah-	false
cr	ahu	false
cr	ai-	false
cr	aid	false
cr	aii	false
cr	ail	false
cr	ain	false
cr	aiu	false
cr	al-	false
cr	ale	false
cr	ali	false
cr	alu	false
cr	ală	false
cr	am-	false
cr	ama	false
cr	amb	false
cr	ame	false
cr	amp	false
cr	amă	false
cr	an-	false
cr	ana	false
cr	ane	false
cr	ani	false
cr	ant	false
cr	anu	false
cr	anâ	false
cr	ană	false
cr	anț	false
cr	ap-	false
cr	apa	false
cr	ape	false
cr	api	false
cr	apo	false
cr	apu	false
cr	apă	false
cr	ar-	false
cr	are	false
cr	ari	false
cr	ară	false
cr	as-	false
cr	asa	false
cr	ase	false
cr	asi	false
cr	asu	false
cr	asâ	false
cr	asă	false
cr	at-	false
cr	ata	false
cr	ate	false
cr	ati	false
cr	ato	false
cr	atu	false
cr	ată	false
cr	au-	false
cr	aul	false
cr	aun	false
cr	ava	false
cr	aza	false
cr	aze	false
cr	azi	false
cr	ază	false
cr	ași	false
cr	ați	false
cr	ață	false
cr	e--	false
cr	ea-	false
cr	ead	false
cr	eai	false
cr	eal	false
cr	eam	false
cr	ean	false
cr	ear	false
cr	eas	false
cr	eat	false
cr	eau	false
cr	eaz	false
cr	eaș	false
cr	eaț	false
cr	ed-	false
cr	ede	false
cr	edi	false
cr	edo	false
cr	edu	false
cr	eea	false
cr	eez	false
cr	ei-	false
cr	eie	false
cr	eim	false
cr	eio	false
cr	eiț	false
cr	ele	false
cr	eli	false
cr	elo	false
cr	em-	false
cr	ema	false
cr	eme	false
cr	emi	false
cr	emn	false
cr	emo	false
cr	emu	false
cr	emâ	false
cr	emă	false
cr	emș	false
cr	en-	false
cr	ena	false
cr	ene	false
cr	eng	false
cr	eni	false
cr	eno	false
cr	env	false
cr	enă	false
cr	eod	false
cr	eof	false
cr	eol	false
cr	eon	false
cr	eoz	false
cr	ep-	false
cr	epa	false
cr	epd	false
cr	epe	false
cr	epi	false
cr	epo	false
cr	eps	false
cr	epu	false
cr	esc	false
cr	esn	false
cr	eso	false
cr	est	false
cr	esu	false
cr	et-	false
cr	eta	false
cr	ete	false
cr	eti	false
cr	etl	false
cr	eto	false
cr	etu	false
cr	etâ	false
cr	etă	false
cr	euz	false
cr	eva	false
cr	eve	false
cr	ez-	false
cr	eza	false
cr	eze	false
cr	ezi	false
cr	ezo	false
cr	ezu	false
cr	ezâ	false
cr	eză	false
cr	eân	false
cr	eă-	false
cr	eăm	false
cr	eăr	false
cr	eșa	false
cr	eșe	false
cr	eșt	false
cr	eșă	false
cr	eț-	false
cr	ețe	false
cr	eți	false
cr	ețu	false
cr	i--	false
cr	ia-	false
cr	iai	false
cr	iam	false
cr	ian	false
cr	iau	false
cr	iaș	false
cr	iaț	false
cr	ib-	false
cr	ibi	false
cr	ibl	false
cr	ibo	false
cr	ibu	false
cr	ibă	false
cr	ic-	false
cr	ice	false
cr	ich	false
cr	ici	false
cr	ico	false
cr	icr	false
cr	icu	false
cr	ida	false
cr	ide	false
cr	idi	false
cr	ido	false
cr	idă	false
cr	ie-	false
cr	iei	false
cr	iel	false
cr	iem	false
cr	ier	false
cr	ieț	false
cr	if-	false
cr	ife	false
cr	ifi	false
cr	ifu	false
cr	ifă	false
cr	igh	false
cr	ii-	false
cr	iil	false
cr	iim	false
cr	iin	false
cr	iit	false
cr	ija	false
cr	ije	false
cr	ijm	false
cr	il-	false
cr	ila	false
cr	ile	false
cr	ili	false
cr	ilo	false
cr	ilu	false
cr	ilă	false
cr	im-	false
cr	ima	false
cr	ime	false
cr	imi	false
cr	imo	false
cr	imu	false
cr	imâ	false
cr	imă	false
cr	in-	false
cr	ina	false
cr	ind	false
cr	ine	false
cr	ing	false
cr	ini	false
cr	ino	false
cr	int	false
cr	inu	false
cr	ină	false
cr	iob	false
cr	ioc	false
cr	iof	false
cr	iog	false
cr	ioi	false
cr	iol	false
cr	iom	false
cr	ion	false
cr	iop	false
cr	ior	false
cr	ios	false
cr	iot	false
cr	ioș	false
cr	ipa	false
cr	ipc	false
cr	ipe	false
cr	ipt	false
cr	ipă	false
cr	ipț	false
cr	ir-	false
cr	ire	false
cr	iri	false
cr	iru	false
cr	iră	false
cr	is-	false
cr	isa	false
cr	isc	false
cr	ise	false
cr	iso	false
cr	isp	false
cr	ist	false
cr	isu	false
cr	isă	false
cr	it-	false
cr	ita	false
cr	ite	false
cr	iti	false
cr	ito	false
cr	itu	false
cr	ită	false
cr	iu-	false
cr	iul	false
cr	iva	false
cr	ivi	false
cr	ivă	false
cr	iza	false
cr	ize	false
cr	izi	false
cr	izâ	false
cr	iză	false
cr	iș-	false
cr	iși	false
cr	ișo	false
cr	ișu	false
cr	ița	false
cr	ițe	false
cr	iți	false
cr	iță	false
cr	o--	false
cr	oac	false
cr	oae	false
cr	oaf	false
cr	oag	false
cr	oal	false
cr	oam	false
cr	oan	false
cr	oap	false
cr	oas	false
cr	oat	false
cr	oau	false
cr	oaz	false
cr	oaț	false
cr	ob-	false
cr	oba	false
cr	obe	false
cr	obi	false
cr	obo	false
cr	obu	false
cr	oc-	false
cr	oca	false
cr	oce	false
cr	och	false
cr	oci	false
cr	ocl	false
cr	oco	false
cr	ocr	false
cr	ocu	false
cr	ocâ	false
cr	ocă	false
cr	oda	false
cr	ode	false
cr	odi	false
cr	odo	false
cr	odu	false
cr	oec	false
cr	oel	false
cr	oen	false
cr	oes	false
cr	oet	false
cr	oev	false
cr	ofa	false
cr	ofe	false
cr	ofi	false
cr	ofl	false
cr	ofo	false
cr	ofu	false
cr	oga	false
cr	oge	false
cr	ogl	false
cr	ogr	false
cr	oha	false
cr	ohe	false
cr	ohi	false
cr	ohm	false
cr	oi-	false
cr	oia	false
cr	oid	false
cr	oie	false
cr	oii	false
cr	oim	false
cr	oin	false
cr	oir	false
cr	ois	false
cr	oit	false
cr	oiu	false
cr	oiș	false
cr	oiț	false
cr	oju	false
cr	ola	false
cr	ole	false
cr	oli	false
cr	olo	false
cr	olu	false
cr	om-	false
cr	oma	false
cr	omb	false
cr	ome	false
cr	omi	false
cr	oml	false
cr	omn	false
cr	omo	false
cr	omu	false
cr	omâ	false
cr	omă	false
cr	on-	false
cr	ona	false
cr	onc	false
cr	one	false
cr	oni	false
cr	ono	false
cr	onu	false
cr	onă	false
cr	oob	false
cr	ooh	false
cr	oor	false
cr	op-	false
cr	opa	false
cr	ope	false
cr	opi	false
cr	opo	false
cr	opr	false
cr	ops	false
cr	ops	true
cr	opt	false
cr	opu	false
cr	ora	false
cr	ore	false
cr	ori	false
cr	os-	false
cr	osa	false
cr	osc	false
cr	ose	false
cr	osi	false
cr	osn	false
cr	oso	false
cr	osp	false
cr	ost	false
cr	osu	false
cr	osă	false
cr	ot-	false
cr	ota	false
cr	ote	false
cr	oti	false
cr	oto	false
cr	otr	false
cr	otu	false
cr	ou-	false
cr	oul	false
cr	oun	false
cr	our	false
cr	ouz	false
cr	ov-	false
cr	ove	false
cr	ovo	false
cr	ovu	false
cr	ovă	false
cr	owa	false
cr	oza	false
cr	oze	false
cr	ozi	false
cr	ozo	false
cr	ozâ	false
cr	oză	false
cr	oș-	false
cr	oșa	false
cr	oșe	false
cr	oșu	false
cr	oșâ	false
cr	oșă	false
cr	u--	false
cr	ube	false
cr	uce	false
cr	uci	false
cr	ucn	false
cr	ud-	false
cr	ude	false
cr	udi	false
cr	udu	false
cr	udă	false
cr	ug-	false
cr	ugu	false
cr	uis	false
cr	ul-	false
cr	ule	false
cr	ulm	false
cr	ulu	false
cr	um-	false
cr	uma	false
cr	umb	false
cr	ume	false
cr	umi	false
cr	ump	false
cr	umu	false
cr	unt	false
cr	unț	false
cr	up-	false
cr	upa	false
cr	upe	false
cr	upi	false
cr	upo	false
cr	upu	false
cr	upă	false
cr	ura	false
cr	ure	false
cr	uri	false
cr	ură	false
cr	ust	false
cr	ut-	false
cr	uta	false
cr	ute	false
cr	uti	false
cr	uto	false
cr	utu	false
cr	utâ	false
cr	ută	false
cr	uza	false
cr	uze	false
cr	uzi	false
cr	uză	false
cr	ușe	false
cr	uși	false
cr	ușo	false
cr	ușâ	false
cr	ușă	false
cr	uț-	false
cr	uța	false
cr	uțe	false
cr	uți	false
cr	uțâ	false
cr	uță	false
cr	âcn	false
cr	âmp	false
cr	ânc	false
cr	ând	false
cr	âng	false
cr	ânt	false
cr	âsn	false
cr	âșc	false
cr	âșm	false
cr	âșn	false
cr	âșt	false
cr	ă--	false
cr	ăca	false
cr	ăce	false
cr	ăci	false
cr	ăcu	false
cr	ăcă	false
cr	ădi	false
cr	ăia	false
cr	ăie	false
cr	ăii	false
cr	ăim	false
cr	ăiș	false
cr	ăiț	false
cr	ăm-	false
cr	ăma	false
cr	ămo	false
cr	ănț	false
cr	ăp-	false
cr	ăpa	false
cr	ăpc	false
cr	ăpe	false
cr	ăpi	false
cr	ăpu	false
cr	ăpâ	false
cr	ăpă	false
cr	ări	false
cr	ăti	false
cr	ăto	false
cr	ătu	false
cs	ac-	false
cs	acu	false
cs	agâ	false
cs	and	false
cs	ar-	false
cs	are	false
cs	ari	false
cs	aru	false
cs	ea-	false
cs	eai	false
cs	eal	false
cs	eam	false
cs	eas	false
cs	eau	false
cs	eaț	false
cs	el-	false
cs	ele	false
cs	eli	false
cs	elu	false
cs	erd	false
cs	eri	false
cs	esc	false
cs	eșt	false
cs	i--	false
cs	ia-	false
cs	ica	false
cs	ie-	false
cs	iei	false
cs	ifi	false
cs	ii-	false
cs	iil	false
cs	im-	false
cs	imi	false
cs	in-	false
cs	ina	false
cs	ind	false
cs	ine	false
cs	inu	false
cs	ină	false
cs	ire	false
cs	iri	false
cs	iră	false
cs	ise	false
cs	it-	false
cs	ite	false
cs	ită	false
cs	iși	false
cs	iți	false
cs	och	false
cs	oși	false
cs	pin	false
cs	tar	false
cs	ui-	false
cs	uia	false
cs	uie	false
cs	uii	false
cs	uim	false
cs	uin	false
cs	uir	false
cs	uis	false
cs	uit	false
cs	uiș	false
cs	uiț	false
cs	ul-	false
cs	ulu	false
cs	uri	false
cs	ări	false
cs	ău-	false
cs	ăul	false
ct	a--	false
ct	abi	false
ct	ac-	false
ct	ace	false
ct	aco	false
ct	acu	false
ct	aed	false
ct	afo	false
ct	agi	false
ct	ai-	false
ct	aj-	false
ct	aje	false
ct	aju	false
ct	al-	false
ct	alb	false
ct	alb	true
ct	ale	false
ct	alf	false
ct	alg	false
ct	ali	false
ct	alo	false
ct	ală	false
ct	am-	false
ct	ama	false
ct	amb	false
ct	amb	true
ct	ame	false
ct	amă	false
ct	an-	false
ct	and	false
ct	ang	false
ct	ani	false
ct	ant	false
ct	anu	false
ct	anț	false
ct	ar-	false
ct	ara	false
ct	are	false
ct	ari	false
ct	aru	false
ct	ară	false
ct	ase	false
ct	at-	false
ct	ate	false
ct	ati	false
ct	atl	false
ct	ato	false
ct	atu	false
ct	ată	false
ct	au-	false
ct	ava	false
ct	ave	false
ct	ave	true
ct	avi	false
ct	avo	false
ct	avă	false
ct	aza	false
ct	aze	false
ct	azi	false
ct	ază	false
ct	ași	false
ct	ați	false
ct	bal	false
ct	bal	true
ct	dis	true
ct	e--	false
ct	ea-	false
ct	eal	false
ct	eat	false
ct	eau	false
ct	eaz	false
ct	eaț	false
ct	eca	false
ct	eci	false
ct	ect	false
ct	ecă	false
ct	ee-	false
ct	eea	false
ct	eei	false
ct	eel	false
ct	ei-	false
ct	eil	false
ct	ele	false
ct	elo	false
ct	eme	false
ct	emi	false
ct	en-	false
ct	ena	false
ct	ene	false
ct	eni	false
ct	eno	false
ct	enu	false
ct	enă	false
ct	eol	false
ct	eon	false
ct	er-	false
