a01	a12	a23	a34	a45	syl
c	h	i	r	g	true
c	h	i	r	i	true
c	h	i	r	o	true
c	h	i	r	p	true
c	h	i	r	u	true
c	h	i	r	â	true
c	h	i	r	ă	true
c	h	i	s	-	true
c	h	i	s	a	true
c	h	i	s	c	true
c	h	i	s	e	true
c	h	i	s	i	true
c	h	i	s	m	false
c	h	i	s	m	true
c	h	i	s	n	true
c	h	i	s	o	true
c	h	i	s	t	true
c	h	i	s	u	true
c	h	i	s	ă	true
c	h	i	t	-	false
c	h	i	t	-	true
c	h	i	t	a	true
c	h	i	t	c	true
c	h	i	t	e	false
c	h	i	t	e	true
c	h	i	t	i	true
c	h	i	t	o	true
c	h	i	t	r	true
c	h	i	t	u	false
c	h	i	t	u	true
c	h	i	t	â	true
c	h	i	t	ă	true
c	h	i	u	-	true
c	h	i	u	i	true
c	h	i	u	l	false
c	h	i	u	l	true
c	h	i	u	n	true
c	h	i	u	p	true
c	h	i	u	r	false
c	h	i	u	r	true
c	h	i	u	v	true
c	h	i	u	z	true
c	h	i	u	ș	true
c	h	i	u	ț	true
c	h	i	v	a	true
c	h	i	v	e	true
c	h	i	v	o	true
c	h	i	v	u	true
c	h	i	v	â	true
c	h	i	v	ă	true
c	h	i	x	-	true
c	h	i	x	u	true
c	h	i	z	-	true
c	h	i	z	a	true
c	h	i	z	e	true
c	h	i	z	i	true
c	h	i	z	o	false
c	h	i	z	o	true
c	h	i	z	u	true
c	h	i	z	â	true
c	h	i	z	ă	true
c	h	i	â	n	true
c	h	i	ș	a	true
c	h	i	ș	c	true
c	h	i	ș	i	true
c	h	i	ș	l	true
c	h	i	ș	o	true
c	h	i	ș	t	true
c	h	i	ț	-	true
c	h	i	ț	a	false
c	h	i	ț	a	true
c	h	i	ț	c	true
c	h	i	ț	e	false
c	h	i	ț	e	true
c	h	i	ț	i	true
c	h	i	ț	o	true
c	h	i	ț	â	false
c	h	i	ț	ă	false
c	h	i	ț	ă	true
c	h	l	o	f	false
c	h	l	o	r	false
c	h	m	e	t	false
c	h	n	e	ț	false
c	h	o	-	-	true
c	h	o	r	-	true
c	h	o	r	u	true
c	h	o	u	l	true
c	h	r	i	s	true
c	h	t	i	a	false
c	h	t	i	e	false
c	h	u	a	-	true
c	h	u	l	-	true
c	h	u	l	o	true
c	h	u	l	u	true
c	h	u	r	i	true
c	i	-	-	-	false
c	i	-	-	-	true
c	i	a	-	-	true
c	i	a	b	i	true
c	i	a	c	o	true
c	i	a	d	a	true
c	i	a	d	e	true
c	i	a	d	i	true
c	i	a	d	ă	true
c	i	a	f	i	false
c	i	a	i	-	true
c	i	a	l	-	true
c	i	a	l	a	true
c	i	a	l	d	true
c	i	a	l	e	true
c	i	a	l	i	true
c	i	a	l	m	true
c	i	a	l	u	true
c	i	a	l	ă	true
c	i	a	m	-	true
c	i	a	m	e	true
c	i	a	n	-	true
c	i	a	n	a	true
c	i	a	n	c	true
c	i	a	n	h	true
c	i	a	n	i	true
c	i	a	n	o	true
c	i	a	n	t	true
c	i	a	n	u	true
c	i	a	n	ă	true
c	i	a	n	ț	true
c	i	a	r	-	true
c	i	a	r	a	true
c	i	a	r	d	true
c	i	a	r	e	true
c	i	a	r	i	true
c	i	a	r	u	true
c	i	a	r	ă	true
c	i	a	s	c	true
c	i	a	s	e	true
c	i	a	t	-	true
c	i	a	t	a	true
c	i	a	t	e	true
c	i	a	t	i	false
c	i	a	t	i	true
c	i	a	t	o	true
c	i	a	t	r	true
c	i	a	t	u	true
c	i	a	t	ă	true
c	i	a	u	-	true
c	i	a	v	a	true
c	i	a	z	ă	true
c	i	a	ș	i	true
c	i	a	ț	i	true
c	i	b	e	l	true
c	i	b	e	r	true
c	i	b	i	l	true
c	i	b	o	l	true
c	i	b	o	r	true
c	i	b	ă	l	true
c	i	c	-	-	true
c	i	c	a	-	true
c	i	c	a	c	true
c	i	c	a	d	true
c	i	c	a	p	true
c	i	c	a	r	true
c	i	c	a	t	true
c	i	c	e	-	true
c	i	c	e	i	true
c	i	c	e	l	true
c	i	c	e	r	true
c	i	c	h	i	true
c	i	c	i	-	true
c	i	c	i	i	true
c	i	c	i	l	true
c	i	c	i	s	true
c	i	c	l	a	true
c	i	c	l	e	true
c	i	c	l	i	true
c	i	c	l	o	false
c	i	c	l	o	true
c	i	c	l	u	true
c	i	c	l	â	true
c	i	c	l	ă	true
c	i	c	o	a	true
c	i	c	o	l	true
c	i	c	o	n	true
c	i	c	o	r	true
c	i	c	o	t	true
c	i	c	u	l	true
c	i	c	u	r	true
c	i	c	u	ț	true
c	i	c	â	n	true
c	i	c	ă	-	true
c	i	c	ă	l	true
c	i	d	-	-	true
c	i	d	a	-	true
c	i	d	a	b	true
c	i	d	a	i	true
c	i	d	a	m	true
c	i	d	a	n	true
c	i	d	a	r	true
c	i	d	a	s	true
c	i	d	a	t	true
c	i	d	a	u	true
c	i	d	a	ș	true
c	i	d	a	ț	true
c	i	d	e	-	true
c	i	d	e	a	true
c	i	d	e	g	true
c	i	d	e	i	true
c	i	d	e	l	true
c	i	d	e	m	true
c	i	d	e	n	true
c	i	d	e	r	true
c	i	d	e	z	true
c	i	d	e	ț	true
c	i	d	i	a	true
c	i	d	i	c	true
c	i	d	i	d	true
c	i	d	i	e	true
c	i	d	i	f	true
c	i	d	i	i	true
c	i	d	i	m	true
c	i	d	i	n	true
c	i	d	i	o	true
c	i	d	i	t	true
c	i	d	i	v	true
c	i	d	i	z	true
c	i	d	o	f	true
c	i	d	o	g	true
c	i	d	o	l	true
c	i	d	o	r	true
c	i	d	o	t	true
c	i	d	o	z	true
c	i	d	r	u	true
c	i	d	u	l	true
c	i	d	u	r	true
c	i	d	â	n	true
c	i	d	ă	-	true
c	i	d	ă	m	true
c	i	d	ă	r	true
c	i	e	-	-	true
c	i	e	a	-	true
c	i	e	i	-	true
c	i	e	l	e	true
c	i	e	l	i	true
c	i	e	l	o	true
c	i	e	m	-	true
c	i	e	n	e	true
c	i	e	n	i	true
c	i	e	n	t	false
c	i	e	n	t	true
c	i	e	n	z	true
c	i	e	n	ț	false
c	i	e	n	ț	true
c	i	e	r	-	true
c	i	e	r	a	true
c	i	e	r	e	true
c	i	e	r	i	true
c	i	e	r	u	true
c	i	e	r	ă	true
c	i	e	s	-	true
c	i	e	s	c	true
c	i	e	s	u	true
c	i	e	t	a	true
c	i	e	t	u	true
c	i	e	t	ă	true
c	i	e	z	-	true
c	i	e	z	e	true
c	i	e	z	i	true
c	i	e	ș	t	true
c	i	f	-	-	true
c	i	f	a	l	true
c	i	f	e	-	true
c	i	f	e	l	true
c	i	f	e	r	true
c	i	f	i	a	true
c	i	f	i	c	true
c	i	f	i	e	true
c	i	f	i	i	true
c	i	f	i	l	true
c	i	f	i	s	true
c	i	f	i	x	true
c	i	f	i	ș	true
c	i	f	l	i	true
c	i	f	l	o	true
c	i	f	o	a	true
c	i	f	o	b	true
c	i	f	o	r	true
c	i	f	o	s	true
c	i	f	o	t	true
c	i	f	o	z	false
c	i	f	o	z	true
c	i	f	o	ș	true
c	i	f	r	a	true
c	i	f	r	e	true
c	i	f	r	i	true
c	i	f	r	o	true
c	i	f	r	u	true
c	i	f	r	â	true
c	i	f	r	ă	true
c	i	f	u	g	true
c	i	f	u	l	true
c	i	f	u	r	true
c	i	g	a	-	true
c	i	g	a	ș	true
c	i	g	e	-	true
c	i	g	e	i	true
c	i	g	e	l	true
c	i	g	e	n	true
c	i	g	i	a	true
c	i	g	i	e	true
c	i	g	r	a	true
c	i	g	â	n	true
c	i	g	ă	-	true
c	i	g	ă	l	true
c	i	g	ă	t	true
c	i	h	ă	i	true
c	i	i	-	-	true
c	i	i	a	l	true
c	i	i	b	ă	true
c	i	i	d	e	true
c	i	i	d	o	true
c	i	i	i	-	true
c	i	i	l	e	true
c	i	i	l	o	true
c	i	i	m	-	true
c	i	i	m	o	true
c	i	i	n	d	true
c	i	i	r	ă	true
c	i	i	s	e	true
c	i	i	t	-	true
c	i	i	t	e	true
c	i	i	t	ă	true
c	i	i	ș	i	true
c	i	i	ț	i	true
c	i	l	-	-	true
c	i	l	a	-	true
c	i	l	a	g	true
c	i	l	a	i	true
c	i	l	a	j	true
c	i	l	a	m	true
c	i	l	a	n	true
c	i	l	a	r	true
c	i	l	a	s	true
c	i	l	a	t	true
c	i	l	a	u	true
c	i	l	a	ș	true
c	i	l	a	ț	true
c	i	l	e	-	true
c	i	l	e	a	true
c	i	l	e	d	true
c	i	l	e	g	true
c	i	l	e	i	true
c	i	l	e	l	true
c	i	l	e	m	true
c	i	l	e	z	true
c	i	l	i	-	true
c	i	l	i	a	true
c	i	l	i	b	true
c	i	l	i	c	true
c	i	l	i	e	true
c	i	l	i	f	true
c	i	l	i	i	true
c	i	l	i	l	true
c	i	l	i	n	true
c	i	l	i	o	true
c	i	l	i	s	true
c	i	l	i	t	true
c	i	l	i	u	true
c	i	l	i	z	true
c	i	l	l	i	true
c	i	l	o	-	true
c	i	l	o	g	true
c	i	l	o	m	true
c	i	l	o	r	true
c	i	l	o	s	true
c	i	l	o	z	true
c	i	l	u	l	true
c	i	l	u	r	true
c	i	l	â	c	true
c	i	l	â	n	true
c	i	l	ă	-	true
c	i	l	ă	m	true
c	i	l	ă	r	true
c	i	m	-	-	true
c	i	m	a	-	true
c	i	m	a	i	true
c	i	m	a	l	true
c	i	m	a	m	true
c	i	m	a	n	true
c	i	m	a	r	true
c	i	m	a	s	true
c	i	m	a	t	true
c	i	m	a	u	true
c	i	m	a	z	true
c	i	m	a	ș	true
c	i	m	a	ț	true
c	i	m	b	a	false
c	i	m	b	a	true
c	i	m	b	i	true
c	i	m	b	r	true
c	i	m	e	-	true
c	i	m	e	a	true
c	i	m	e	i	true
c	i	m	e	l	true
c	i	m	e	n	true
c	i	m	e	r	true
c	i	m	e	t	true
c	i	m	e	z	true
c	i	m	i	-	true
c	i	m	i	i	true
c	i	m	i	l	true
c	i	m	i	t	true
c	i	m	i	z	true
c	i	m	i	ș	true
c	i	m	o	a	true
c	i	m	o	l	true
c	i	m	o	m	true
c	i	m	o	n	true
c	i	m	o	s	true
c	i	m	o	t	true
c	i	m	p	a	true
c	i	m	p	o	true
c	i	m	â	n	true
c	i	m	ă	-	true
c	i	m	ă	m	true
c	i	m	ă	r	true
c	i	n	-	-	true
c	i	n	a	-	true
c	i	n	a	b	true
c	i	n	a	c	true
c	i	n	a	d	true
c	i	n	a	i	true
c	i	n	a	j	true
c	i	n	a	l	true
c	i	n	a	m	true
c	i	n	a	n	true
c	i	n	a	r	true
c	i	n	a	s	true
c	i	n	a	t	true
c	i	n	a	u	true
c	i	n	a	ș	true
c	i	n	a	ț	true
c	i	n	c	a	true
c	i	n	c	e	true
c	i	n	c	h	true
c	i	n	c	i	true
c	i	n	c	ă	true
c	i	n	d	-	true
c	i	n	d	a	false
c	i	n	d	e	false
c	i	n	d	e	true
c	i	n	d	â	false
c	i	n	d	ă	false
c	i	n	d	ă	true
c	i	n	e	-	true
c	i	n	e	a	true
c	i	n	e	c	true
c	i	n	e	e	true
c	i	n	e	f	true
c	i	n	e	g	true
c	i	n	e	i	true
c	i	n	e	l	true
c	i	n	e	m	true
c	i	n	e	n	true
c	i	n	e	p	true
c	i	n	e	r	true
c	i	n	e	s	true
c	i	n	e	t	true
c	i	n	e	v	true
c	i	n	e	z	true
c	i	n	g	-	true
c	i	n	g	e	true
c	i	n	g	i	true
c	i	n	g	u	true
c	i	n	g	â	true
c	i	n	g	ă	true
c	i	n	i	-	true
c	i	n	i	a	true
c	i	n	i	c	true
c	i	n	i	d	true
c	i	n	i	e	true
c	i	n	i	f	true
c	i	n	i	i	true
c	i	n	i	l	true
c	i	n	i	s	true
c	i	n	i	t	true
c	i	n	i	u	true
c	i	n	i	ș	true
c	i	n	i	ț	true
c	i	n	o	-	true
c	i	n	o	a	true
c	i	n	o	c	true
c	i	n	o	d	true
c	i	n	o	f	true
c	i	n	o	g	true
c	i	n	o	l	true
c	i	n	o	m	true
c	i	n	o	p	true
c	i	n	o	r	true
c	i	n	o	s	true
c	i	n	o	t	true
c	i	n	o	v	true
c	i	n	o	z	true
c	i	n	o	ș	true
c	i	n	s	-	true
c	i	n	s	e	true
c	i	n	s	t	true
c	i	n	s	u	true
c	i	n	s	ă	true
c	i	n	t	-	true
c	i	n	t	a	true
c	i	n	t	e	true
c	i	n	t	i	false
c	i	n	t	i	true
c	i	n	t	r	true
c	i	n	t	u	true
c	i	n	t	ă	true
c	i	n	u	i	true
c	i	n	u	l	true
c	i	n	u	r	true
c	i	n	z	-	true
c	i	n	z	e	true
c	i	n	z	i	true
c	i	n	z	u	true
c	i	n	z	â	true
c	i	n	â	n	true
c	i	n	ă	-	true
c	i	n	ă	d	true
c	i	n	ă	m	true
c	i	n	ă	r	true
c	i	n	ă	t	true
c	i	n	ș	i	true
c	i	n	ț	a	true
c	i	n	ț	e	true
c	i	n	ț	i	true
c	i	n	ț	ă	true
c	i	o	-	-	false
c	i	o	-	-	true
c	i	o	a	b	true
c	i	o	a	c	true
c	i	o	a	f	true
c	i	o	a	g	true
c	i	o	a	i	true
c	i	o	a	l	true
c	i	o	a	n	true
c	i	o	a	r	true
c	i	o	a	s	true
c	i	o	a	t	true
c	i	o	b	-	true
c	i	o	b	a	true
c	i	o	b	e	true
c	i	o	b	i	true
c	i	o	b	o	true
c	i	o	b	u	true
c	i	o	b	ă	true
c	i	o	c	-	true
c	i	o	c	a	true
c	i	o	c	b	true
c	i	o	c	c	true
c	i	o	c	e	true
c	i	o	c	h	true
c	i	o	c	i	true
c	i	o	c	l	true
c	i	o	c	m	true
c	i	o	c	n	true
c	i	o	c	o	true
c	i	o	c	p	true
c	i	o	c	u	true
c	i	o	c	â	true
c	i	o	c	î	true
c	i	o	c	ă	true
c	i	o	d	a	false
c	i	o	d	a	true
c	i	o	d	i	false
c	i	o	d	i	true
c	i	o	d	r	true
c	i	o	e	c	true
c	i	o	f	l	true
c	i	o	g	-	true
c	i	o	g	a	true
c	i	o	g	e	true
c	i	o	g	g	true
c	i	o	g	i	true
c	i	o	g	l	true
c	i	o	g	n	true
c	i	o	g	o	true
c	i	o	g	r	false
c	i	o	g	r	true
c	i	o	g	u	true
c	i	o	g	ă	true
c	i	o	h	o	true
c	i	o	i	c	true
c	i	o	l	a	true
c	i	o	l	e	true
c	i	o	l	i	true
c	i	o	l	o	true
c	i	o	l	p	true
c	i	o	l	t	true
c	i	o	l	â	true
c	i	o	l	ă	true
c	i	o	m	a	true
c	i	o	m	e	true
c	i	o	m	o	true
c	i	o	m	p	true
c	i	o	m	ă	true
c	i	o	n	-	true
c	i	o	n	a	true
c	i	o	n	d	true
c	i	o	n	e	true
c	i	o	n	i	true
c	i	o	n	u	true
c	i	o	n	â	true
c	i	o	n	ă	true
c	i	o	p	a	true
c	i	o	p	l	true
c	i	o	p	o	true
c	i	o	p	s	true
c	i	o	p	â	true
c	i	o	p	ă	true
c	i	o	r	-	true
c	i	o	r	a	true
c	i	o	r	b	true
c	i	o	r	c	true
c	i	o	r	d	true
c	i	o	r	e	true
c	i	o	r	i	true
c	i	o	r	m	true
c	i	o	r	n	true
c	i	o	r	o	true
c	i	o	r	p	true
c	i	o	r	s	true
c	i	o	r	t	true
c	i	o	r	u	true
c	i	o	r	v	true
c	i	o	r	â	true
c	i	o	r	î	true
c	i	o	r	ă	true
c	i	o	s	-	true
c	i	o	s	o	true
c	i	o	s	u	true
c	i	o	t	-	true
c	i	o	t	c	true
c	i	o	t	i	true
c	i	o	t	u	true
c	i	o	u	m	true
c	i	o	v	e	true
c	i	o	v	i	true
c	i	o	z	i	true
c	i	o	z	v	true
c	i	o	ș	i	true
c	i	o	ș	m	true
c	i	o	ș	t	true
c	i	p	-	-	true
c	i	p	a	-	true
c	i	p	a	i	true
c	i	p	a	l	true
c	i	p	a	m	true
c	i	p	a	n	true
c	i	p	a	r	true
c	i	p	a	s	true
c	i	p	a	t	true
c	i	p	a	u	true
c	i	p	a	ș	true
c	i	p	a	ț	true
c	i	p	c	i	true
c	i	p	e	-	true
c	i	p	e	a	true
c	i	p	e	d	true
c	i	p	e	l	true
c	i	p	e	n	true
c	i	p	e	r	true
c	i	p	e	s	true
c	i	p	e	x	true
c	i	p	e	z	true
c	i	p	i	-	true
c	i	p	i	a	true
c	i	p	i	c	true
c	i	p	i	e	true
c	i	p	i	i	true
c	i	p	i	l	true
c	i	p	i	s	true
c	i	p	i	t	true
c	i	p	i	u	true
c	i	p	i	ț	true
c	i	p	l	i	true
c	i	p	o	l	true
c	i	p	r	i	true
c	i	p	r	o	true
c	i	p	r	u	true
c	i	p	u	l	true
c	i	p	u	r	true
c	i	p	u	t	true
c	i	p	â	n	true
c	i	p	ă	-	true
c	i	p	ă	m	true
c	i	p	ă	r	true
c	i	r	-	-	true
c	i	r	a	-	true
c	i	r	a	c	true
c	i	r	a	i	true
c	i	r	a	m	true
c	i	r	a	r	true
c	i	r	a	s	true
c	i	r	a	t	true
c	i	r	a	u	true
c	i	r	a	ș	true
c	i	r	a	ț	true
c	i	r	c	-	true
c	i	r	c	a	true
c	i	r	c	e	true
c	i	r	c	o	true
c	i	r	c	u	true
c	i	r	c	ă	true
c	i	r	e	-	true
c	i	r	e	a	true
c	i	r	e	n	true
c	i	r	e	z	true
c	i	r	e	ș	true
c	i	r	i	-	true
c	i	r	i	f	true
c	i	r	i	i	true
c	i	r	i	l	true
c	i	r	i	p	true
c	i	r	i	t	true
c	i	r	i	ș	true
c	i	r	l	a	true
c	i	r	l	e	true
c	i	r	l	o	true
c	i	r	l	ă	true
c	i	r	o	c	true
c	i	r	o	s	true
c	i	r	o	t	true
c	i	r	o	z	true
c	i	r	t	a	true
c	i	r	t	e	true
c	i	r	t	o	true
c	i	r	t	ă	true
c	i	r	u	l	true
c	i	r	u	s	true
c	i	r	â	n	true
c	i	r	ă	-	true
c	i	r	ă	m	true
c	i	r	ă	ț	true
c	i	s	-	-	true
c	i	s	a	-	false
c	i	s	a	-	true
c	i	s	a	l	true
c	i	s	a	r	true
c	i	s	b	e	true
c	i	s	c	a	true
c	i	s	c	e	true
c	i	s	c	ă	true
c	i	s	e	-	false
c	i	s	e	-	true
c	i	s	e	i	false
c	i	s	e	i	true
c	i	s	e	l	false
c	i	s	e	l	true
c	i	s	e	m	true
c	i	s	e	r	true
c	i	s	e	s	true
c	i	s	e	ș	true
c	i	s	i	a	true
c	i	s	i	c	true
c	i	s	i	s	true
c	i	s	i	t	true
c	i	s	i	v	true
c	i	s	i	ș	true
c	i	s	l	a	true
c	i	s	l	e	true
c	i	s	l	u	true
c	i	s	l	ă	true
c	i	s	m	-	true
c	i	s	m	e	true
c	i	s	m	u	true
c	i	s	n	i	true
c	i	s	o	i	true
c	i	s	p	r	false
c	i	s	s	i	true
c	i	s	t	-	true
c	i	s	t	a	true
c	i	s	t	e	true
c	i	s	t	i	true
c	i	s	t	o	true
c	i	s	t	u	true
c	i	s	t	ă	true
c	i	s	u	l	true
c	i	s	u	r	true
c	i	s	u	t	true
c	i	s	ă	-	false
c	i	s	ă	-	true
c	i	s	ă	r	true
c	i	t	-	-	false
c	i	t	-	-	true
c	i	t	a	-	false
c	i	t	a	-	true
c	i	t	a	b	true
c	i	t	a	d	true
c	i	t	a	i	true
c	i	t	a	l	true
c	i	t	a	m	true
c	i	t	a	n	true
c	i	t	a	r	true
c	i	t	a	s	true
c	i	t	a	t	true
c	i	t	a	u	true
c	i	t	a	ș	true
c	i	t	a	ț	true
c	i	t	e	-	false
c	i	t	e	-	true
c	i	t	e	a	true
c	i	t	e	i	false
c	i	t	e	i	true
c	i	t	e	l	false
c	i	t	e	l	true
c	i	t	e	m	true
c	i	t	e	s	true
c	i	t	e	z	true
c	i	t	e	ș	true
c	i	t	e	ț	true
c	i	t	i	-	true
c	i	t	i	c	false
c	i	t	i	c	true
c	i	t	i	i	true
c	i	t	i	m	true
c	i	t	i	n	true
c	i	t	i	r	true
c	i	t	i	s	true
c	i	t	i	t	true
c	i	t	i	v	true
c	i	t	i	z	true
c	i	t	i	ș	true
c	i	t	i	ț	true
c	i	t	o	a	true
c	i	t	o	b	true
c	i	t	o	c	true
c	i	t	o	d	true
c	i	t	o	f	true
c	i	t	o	g	true
c	i	t	o	l	true
c	i	t	o	m	true
c	i	t	o	n	true
c	i	t	o	p	true
c	i	t	o	r	true
c	i	t	o	s	true
c	i	t	o	t	true
c	i	t	o	z	true
c	i	t	o	ș	true
c	i	t	r	a	true
c	i	t	r	i	true
c	i	t	r	o	true
c	i	t	u	d	true
c	i	t	u	l	false
c	i	t	u	l	true
c	i	t	u	r	true
c	i	t	â	n	true
c	i	t	ă	-	false
c	i	t	ă	-	true
c	i	t	ă	m	true
c	i	t	ă	r	true
c	i	t	ă	u	true
c	i	t	ă	ț	true
c	i	u	-	-	true
c	i	u	a	-	true
c	i	u	a	i	true
c	i	u	a	m	true
c	i	u	a	r	true
c	i	u	a	s	true
c	i	u	a	t	true
c	i	u	a	u	true
c	i	u	a	ș	true
c	i	u	a	ț	true
c	i	u	b	e	true
c	i	u	b	o	true
c	i	u	b	u	true
c	i	u	b	ă	true
c	i	u	c	-	true
c	i	u	c	a	true
c	i	u	c	h	true
c	i	u	c	i	true
c	i	u	c	u	true
c	i	u	c	â	true
c	i	u	c	ă	true
c	i	u	d	a	true
c	i	u	d	e	true
c	i	u	d	i	true
c	i	u	d	o	true
c	i	u	d	â	true
c	i	u	d	ă	true
c	i	u	e	a	true
c	i	u	e	z	true
c	i	u	f	-	true
c	i	u	f	i	true
c	i	u	f	u	true
c	i	u	g	-	true
c	i	u	g	a	true
c	i	u	g	e	true
c	i	u	g	i	true
c	i	u	g	o	true
c	i	u	g	u	true
c	i	u	g	ă	true
c	i	u	h	u	true
c	i	u	i	-	true
c	i	u	i	a	true
c	i	u	i	e	true
c	i	u	i	i	true
c	i	u	i	m	true
c	i	u	i	n	true
c	i	u	i	r	true
c	i	u	i	s	true
c	i	u	i	t	true
c	i	u	i	ș	true
c	i	u	i	ț	true
c	i	u	l	-	true
c	i	u	l	a	true
c	i	u	l	d	true
c	i	u	l	e	true
c	i	u	l	i	true
c	i	u	l	o	true
c	i	u	l	u	true
c	i	u	l	ă	true
c	i	u	m	-	true
c	i	u	m	a	true
c	i	u	m	b	true
c	i	u	m	e	true
c	i	u	m	i	true
c	i	u	m	o	true
c	i	u	m	p	true
c	i	u	m	u	true
c	i	u	m	â	true
c	i	u	m	ă	true
c	i	u	n	-	false
c	i	u	n	-	true
c	i	u	n	a	false
c	i	u	n	a	true
c	i	u	n	d	false
c	i	u	n	d	true
c	i	u	n	e	false
c	i	u	n	e	true
c	i	u	n	g	true
c	i	u	n	i	false
c	i	u	n	i	true
c	i	u	n	o	false
c	i	u	n	o	true
c	i	u	n	t	true
c	i	u	n	u	false
c	i	u	n	u	true
c	i	u	n	â	true
c	i	u	n	ă	true
c	i	u	n	ț	true
c	i	u	p	e	true
c	i	u	p	i	true
c	i	u	r	-	true
c	i	u	r	a	true
c	i	u	r	d	true
c	i	u	r	e	true
c	i	u	r	i	false
c	i	u	r	i	true
c	i	u	r	l	true
c	i	u	r	o	true
c	i	u	r	u	true
c	i	u	r	ă	true
c	i	u	t	-	true
c	i	u	t	a	true
c	i	u	t	e	true
c	i	u	t	u	true
c	i	u	t	ă	true
c	i	u	v	a	true
c	i	u	â	n	true
c	i	u	ă	-	true
c	i	u	ă	m	true
c	i	u	ă	r	true
c	i	u	ș	-	true
c	i	u	ș	c	true
c	i	u	ș	o	true
c	i	u	ș	t	true
c	i	u	ț	i	true
c	i	v	-	-	true
c	i	v	a	d	true
c	i	v	e	-	true
c	i	v	i	-	true
c	i	v	i	c	true
c	i	v	i	l	true
c	i	v	i	s	true
c	i	v	i	t	true
c	i	v	i	ț	true
c	i	v	o	r	true
c	i	v	ă	-	true
c	i	z	-	-	true
c	i	z	a	-	true
c	i	z	a	b	true
c	i	z	a	i	true
c	i	z	a	m	true
c	i	z	a	n	true
c	i	z	a	r	true
c	i	z	a	s	true
c	i	z	a	t	true
c	i	z	a	u	true
c	i	z	a	ș	true
c	i	z	a	ț	true
c	i	z	e	-	true
c	i	z	e	a	true
c	i	z	e	c	false
c	i	z	e	i	true
c	i	z	e	l	true
c	i	z	e	z	true
c	i	z	i	-	true
c	i	z	i	a	true
c	i	z	i	e	true
c	i	z	i	i	true
c	i	z	i	l	true
c	i	z	i	o	false
c	i	z	i	o	true
c	i	z	i	p	false
c	i	z	i	u	false
c	i	z	i	u	true
c	i	z	m	a	true
c	i	z	m	e	true
c	i	z	m	u	true
c	i	z	m	ă	true
c	i	z	o	r	true
c	i	z	u	l	true
c	i	z	u	r	false
c	i	z	u	r	true
c	i	z	â	n	true
c	i	z	ă	-	true
c	i	z	ă	m	true
c	i	z	ă	r	true
c	i	ș	-	-	true
c	i	ș	a	-	true
c	i	ș	a	i	true
c	i	ș	a	m	true
c	i	ș	a	r	true
c	i	ș	a	s	true
c	i	ș	a	t	true
c	i	ș	a	u	true
c	i	ș	a	ș	true
c	i	ș	a	ț	true
c	i	ș	e	-	true
c	i	ș	e	a	true
c	i	ș	e	i	true
c	i	ș	e	l	true
c	i	ș	e	z	true
c	i	ș	i	-	true
c	i	ș	i	i	true
c	i	ș	i	l	true
c	i	ș	m	e	true
c	i	ș	o	a	true
c	i	ș	o	r	true
c	i	ș	t	i	true
c	i	ș	u	l	true
c	i	ș	u	r	true
c	i	ș	â	n	true
c	i	ș	ă	-	true
c	i	ș	ă	m	true
c	i	ș	ă	r	true
c	i	ș	ă	t	true
c	i	ț	a	-	true
c	i	ț	e	-	true
c	i	ț	e	i	true
c	i	ț	e	l	true
c	i	ț	i	-	false
c	i	ț	i	-	true
c	i	ț	i	a	true
c	i	ț	i	e	true
c	i	ț	i	i	false
c	i	ț	i	i	true
c	i	ț	i	l	false
c	i	ț	i	l	true
c	i	ț	i	u	true
c	i	ț	ă	-	true
c	k	-	-	-	false
c	k	e	l	-	true
c	k	e	l	u	true
c	k	i	s	m	true
c	k	k	o	l	false
c	k	u	l	-	true
c	k	u	l	u	true
c	k	u	r	i	true
c	l	a	-	-	true
c	l	a	b	i	true
c	l	a	c	-	true
c	l	a	c	a	true
c	l	a	c	h	true
c	l	a	c	u	true
c	l	a	c	â	true
c	l	a	c	ă	true
c	l	a	d	a	true
c	l	a	d	o	true
c	l	a	d	ă	true
c	l	a	i	-	false
c	l	a	i	-	true
c	l	a	i	a	true
c	l	a	i	e	true
c	l	a	i	u	false
c	l	a	j	-	true
c	l	a	j	e	true
c	l	a	j	u	true
c	l	a	l	e	true
c	l	a	m	-	true
c	l	a	m	a	true
c	l	a	m	e	true
c	l	a	m	i	true
c	l	a	m	o	true
c	l	a	m	p	true
c	l	a	m	â	true
c	l	a	m	ă	true
c	l	a	n	-	true
c	l	a	n	a	true
c	l	a	n	c	true
c	l	a	n	d	true
c	l	a	n	i	true
c	l	a	n	u	true
c	l	a	n	ș	true
c	l	a	n	ț	true
c	l	a	p	-	true
c	l	a	p	a	true
c	l	a	p	c	true
c	l	a	p	e	true
c	l	a	p	o	true
c	l	a	p	ă	true
c	l	a	r	-	true
c	l	a	r	a	true
c	l	a	r	e	true
c	l	a	r	i	true
c	l	a	r	o	true
c	l	a	r	u	true
c	l	a	r	v	true
c	l	a	r	â	true
c	l	a	r	ă	true
c	l	a	s	a	true
c	l	a	s	e	true
c	l	a	s	i	true
c	l	a	s	m	true
c	l	a	s	o	true
c	l	a	s	t	true
c	l	a	s	â	true
c	l	a	s	ă	true
c	l	a	t	-	true
c	l	a	t	a	true
c	l	a	t	e	true
c	l	a	t	i	true
c	l	a	t	o	true
c	l	a	t	u	true
c	l	a	t	â	true
c	l	a	t	ă	true
c	l	a	u	-	true
