b32	b21	b10	a01	a12	syl
a	n	p	o	r	false
a	n	p	o	s	false
a	n	p	r	e	false
a	n	p	s	i	false
a	n	q	u	i	false
a	n	r	o	b	false
a	n	r	o	c	false
a	n	r	o	m	false
a	n	r	t	o	false
a	n	s	a	-	false
a	n	s	a	f	false
a	n	s	a	f	true
a	n	s	a	i	false
a	n	s	a	j	false
a	n	s	a	l	false
a	n	s	a	l	true
a	n	s	a	m	false
a	n	s	a	m	true
a	n	s	a	n	false
a	n	s	a	r	false
a	n	s	a	r	true
a	n	s	a	s	false
a	n	s	a	t	false
a	n	s	a	t	true
a	n	s	a	u	false
a	n	s	a	ș	false
a	n	s	a	ț	false
a	n	s	b	o	true
a	n	s	c	a	true
a	n	s	c	e	true
a	n	s	c	o	true
a	n	s	c	r	false
a	n	s	c	r	true
a	n	s	c	u	true
a	n	s	d	a	true
a	n	s	d	u	true
a	n	s	e	-	false
a	n	s	e	a	false
a	n	s	e	b	false
a	n	s	e	i	false
a	n	s	e	l	false
a	n	s	e	n	false
a	n	s	e	p	false
a	n	s	e	r	false
a	n	s	e	t	false
a	n	s	e	u	false
a	n	s	e	v	false
a	n	s	e	x	false
a	n	s	e	z	false
a	n	s	f	e	true
a	n	s	f	i	true
a	n	s	f	o	false
a	n	s	f	o	true
a	n	s	f	u	false
a	n	s	f	u	true
a	n	s	g	r	false
a	n	s	g	r	true
a	n	s	h	u	true
a	n	s	i	b	false
a	n	s	i	e	false
a	n	s	i	g	false
a	n	s	i	l	false
a	n	s	i	n	false
a	n	s	i	o	false
a	n	s	i	s	false
a	n	s	i	u	false
a	n	s	i	v	false
a	n	s	i	ș	false
a	n	s	l	a	false
a	n	s	l	a	true
a	n	s	l	e	true
a	n	s	l	i	false
a	n	s	l	i	true
a	n	s	l	o	true
a	n	s	l	u	true
a	n	s	l	â	true
a	n	s	l	ă	true
a	n	s	m	a	true
a	n	s	m	i	false
a	n	s	m	i	true
a	n	s	m	o	true
a	n	s	m	u	true
a	n	s	n	a	true
a	n	s	n	i	true
a	n	s	o	a	false
a	n	s	o	c	false
a	n	s	o	c	true
a	n	s	o	m	false
a	n	s	o	n	false
a	n	s	o	r	false
a	n	s	p	a	true
a	n	s	p	e	true
a	n	s	p	i	false
a	n	s	p	i	true
a	n	s	p	l	false
a	n	s	p	l	true
a	n	s	p	o	true
a	n	s	p	u	true
a	n	s	p	ă	true
a	n	s	s	a	true
a	n	s	s	e	true
a	n	s	s	i	true
a	n	s	s	u	true
a	n	s	t	e	false
a	n	s	t	r	false
a	n	s	u	c	false
a	n	s	u	e	false
a	n	s	u	l	false
a	n	s	u	p	false
a	n	s	u	r	false
a	n	s	u	r	true
a	n	s	v	a	true
a	n	s	v	e	false
a	n	s	v	e	true
a	n	s	â	n	false
a	n	s	ă	-	false
a	n	s	ă	m	false
a	n	s	ă	r	false
a	n	t	a	-	false
a	n	t	a	b	false
a	n	t	a	c	false
a	n	t	a	g	false
a	n	t	a	h	false
a	n	t	a	i	false
a	n	t	a	j	false
a	n	t	a	l	false
a	n	t	a	l	true
a	n	t	a	m	false
a	n	t	a	n	false
a	n	t	a	n	true
a	n	t	a	p	false
a	n	t	a	p	true
a	n	t	a	r	false
a	n	t	a	r	true
a	n	t	a	s	false
a	n	t	a	t	false
a	n	t	a	u	false
a	n	t	a	z	false
a	n	t	a	ș	false
a	n	t	a	ț	false
a	n	t	e	-	false
a	n	t	e	a	false
a	n	t	e	b	false
a	n	t	e	c	false
a	n	t	e	d	false
a	n	t	e	f	false
a	n	t	e	g	false
a	n	t	e	i	false
a	n	t	e	l	false
a	n	t	e	m	false
a	n	t	e	n	false
a	n	t	e	o	false
a	n	t	e	p	false
a	n	t	e	r	false
a	n	t	e	s	false
a	n	t	e	t	false
a	n	t	e	u	false
a	n	t	e	v	false
a	n	t	e	z	false
a	n	t	e	ș	false
a	n	t	h	a	false
a	n	t	h	i	false
a	n	t	i	-	false
a	n	t	i	a	false
a	n	t	i	b	false
a	n	t	i	c	false
a	n	t	i	d	false
a	n	t	i	e	false
a	n	t	i	f	false
a	n	t	i	g	false
a	n	t	i	h	false
a	n	t	i	i	false
a	n	t	i	j	false
a	n	t	i	l	false
a	n	t	i	m	false
a	n	t	i	n	false
a	n	t	i	o	false
a	n	t	i	p	false
a	n	t	i	r	false
a	n	t	i	s	false
a	n	t	i	t	false
a	n	t	i	u	false
a	n	t	i	v	false
a	n	t	i	z	false
a	n	t	i	ș	false
a	n	t	l	â	true
a	n	t	o	-	false
a	n	t	o	a	false
a	n	t	o	b	false
a	n	t	o	c	false
a	n	t	o	d	false
a	n	t	o	f	false
a	n	t	o	g	false
a	n	t	o	g	true
a	n	t	o	i	false
a	n	t	o	l	false
a	n	t	o	m	false
a	n	t	o	n	false
a	n	t	o	p	false
a	n	t	o	p	true
a	n	t	o	r	false
a	n	t	o	s	false
a	n	t	o	t	false
a	n	t	o	u	false
a	n	t	o	z	false
a	n	t	o	ș	false
a	n	t	r	a	false
a	n	t	r	e	false
a	n	t	r	i	false
a	n	t	r	o	false
a	n	t	r	u	false
a	n	t	u	-	false
a	n	t	u	l	false
a	n	t	u	l	true
a	n	t	u	m	false
a	n	t	u	n	false
a	n	t	u	r	false
a	n	t	u	s	false
a	n	t	â	n	false
a	n	t	ă	-	false
a	n	t	ă	m	false
a	n	t	ă	n	false
a	n	t	ă	r	false
a	n	t	ă	t	false
a	n	u	a	-	false
a	n	u	a	l	false
a	n	u	a	l	true
a	n	u	a	r	true
a	n	u	b	i	true
a	n	u	b	r	true
a	n	u	c	l	true
a	n	u	e	l	true
a	n	u	e	p	true
a	n	u	f	a	true
a	n	u	g	i	true
a	n	u	g	o	true
a	n	u	i	t	true
a	n	u	l	-	false
a	n	u	l	a	true
a	n	u	l	e	true
a	n	u	l	i	true
a	n	u	l	l	false
a	n	u	l	o	true
a	n	u	l	p	false
a	n	u	l	u	true
a	n	u	l	â	true
a	n	u	l	ă	true
a	n	u	m	-	false
a	n	u	m	e	true
a	n	u	m	i	true
a	n	u	m	u	true
a	n	u	n	c	false
a	n	u	n	i	true
a	n	u	n	ț	false
a	n	u	r	a	true
a	n	u	r	e	true
a	n	u	r	i	false
a	n	u	r	i	true
a	n	u	r	â	true
a	n	u	r	ă	true
a	n	u	s	-	false
a	n	u	s	c	false
a	n	u	s	c	true
a	n	u	s	u	true
a	n	u	t	a	true
a	n	u	t	r	true
a	n	v	a	r	false
a	n	v	e	l	false
a	n	v	e	r	false
a	n	v	i	z	false
a	n	x	i	e	false
a	n	x	i	o	false
a	n	z	a	c	false
a	n	z	a	c	true
a	n	z	a	n	false
a	n	z	a	t	false
a	n	z	e	i	false
a	n	z	e	l	false
a	n	z	e	r	false
a	n	z	e	u	false
a	n	z	i	-	false
a	n	z	i	b	false
a	n	z	i	e	false
a	n	z	i	i	false
a	n	z	i	l	false
a	n	z	i	n	false
a	n	z	i	s	false
a	n	z	i	t	false
a	n	z	i	ț	false
a	n	z	o	f	false
a	n	z	o	o	false
a	n	z	u	l	false
a	n	â	m	a	true
a	n	â	m	e	true
a	n	â	m	ă	true
a	n	â	n	d	false
a	n	ă	d	e	true
a	n	ă	m	-	false
a	n	ă	r	e	true
a	n	ă	r	i	false
a	n	ă	r	i	true
a	n	ă	t	-	false
a	n	ă	t	u	true
a	n	ș	a	-	false
a	n	ș	a	i	false
a	n	ș	a	m	false
a	n	ș	a	n	false
a	n	ș	a	r	false
a	n	ș	a	s	false
a	n	ș	a	t	false
a	n	ș	a	u	false
a	n	ș	a	ș	false
a	n	ș	a	ț	false
a	n	ș	e	-	false
a	n	ș	e	a	false
a	n	ș	e	e	false
a	n	ș	e	i	false
a	n	ș	e	l	false
a	n	ș	e	n	false
a	n	ș	e	t	false
a	n	ș	e	u	false
a	n	ș	e	z	false
a	n	ș	i	-	false
a	n	ș	i	i	false
a	n	ș	i	l	false
a	n	ș	i	r	false
a	n	ș	i	s	false
a	n	ș	i	ș	false
a	n	ș	o	a	false
a	n	ș	o	n	false
a	n	ș	o	r	false
a	n	ș	u	l	false
a	n	ș	â	n	false
a	n	ș	ă	-	false
a	n	ș	ă	m	false
a	n	ș	ă	r	false
a	n	ț	a	-	false
a	n	ț	a	i	false
a	n	ț	a	m	false
a	n	ț	a	r	false
a	n	ț	a	s	false
a	n	ț	a	t	false
a	n	ț	a	u	false
a	n	ț	a	ș	false
a	n	ț	a	ț	false
a	n	ț	e	-	false
a	n	ț	e	a	false
a	n	ț	e	i	false
a	n	ț	e	l	false
a	n	ț	e	t	false
a	n	ț	e	z	false
a	n	ț	i	-	false
a	n	ț	i	a	false
a	n	ț	i	e	false
a	n	ț	i	i	false
a	n	ț	i	l	false
a	n	ț	i	n	false
a	n	ț	i	o	false
a	n	ț	i	r	false
a	n	ț	m	e	false
a	n	ț	m	e	true
a	n	ț	o	n	false
a	n	ț	o	ș	false
a	n	ț	u	j	false
a	n	ț	u	l	false
a	n	ț	u	r	false
a	n	ț	u	z	false
a	n	ț	u	ș	false
a	n	ț	â	n	false
a	n	ț	ă	-	false
a	n	ț	ă	m	false
a	n	ț	ă	r	false
a	o	a	c	h	true
a	o	a	m	e	true
a	o	a	r	b	false
a	o	b	a	b	false
a	o	c	c	i	true
a	o	c	h	i	false
a	o	c	t	a	true
a	o	c	u	l	false
a	o	f	e	n	false
a	o	f	e	r	false
a	o	i	i	-	false
a	o	i	s	m	false
a	o	i	s	t	false
a	o	i	ș	t	false
a	o	l	a	-	false
a	o	l	a	l	false
a	o	l	e	-	false
a	o	l	e	a	false
a	o	l	e	i	false
a	o	l	e	l	false
a	o	l	e	o	false
a	o	l	e	u	false
a	o	l	i	c	false
a	o	l	i	n	false
a	o	l	ă	-	false
a	o	m	e	n	false
a	o	m	u	l	false
a	o	m	ă	t	false
a	o	n	i	-	false
a	o	n	i	c	false
a	o	n	i	d	false
a	o	n	i	i	false
a	o	n	i	l	false
a	o	n	u	l	false
a	o	p	t	i	true
a	o	r	d	i	true
a	o	r	d	o	true
a	o	r	i	-	false
a	o	r	i	i	false
a	o	r	i	l	false
a	o	r	i	s	false
a	o	r	t	a	true
a	o	r	t	e	true
a	o	r	t	i	true
a	o	r	t	o	true
a	o	r	t	ă	true
a	o	s	u	l	false
a	o	s	u	r	false
a	o	t	i	c	false
a	o	t	i	e	false
a	o	t	r	a	false
a	o	u	l	-	false
a	o	u	l	u	true
a	o	x	i	d	false
a	o	x	i	z	false
a	o	ș	e	-	false
a	o	ș	i	-	false
a	o	ș	i	s	false
a	o	ș	i	ș	false
a	o	ș	ă	-	false
a	o	ț	i	a	false
a	o	ț	i	e	false
a	p	a	b	i	true
a	p	a	c	-	false
a	p	a	c	a	true
a	p	a	c	e	true
a	p	a	c	i	false
a	p	a	c	i	true
a	p	a	c	u	true
a	p	a	d	a	true
a	p	a	d	e	true
a	p	a	d	ă	true
a	p	a	f	o	true
a	p	a	g	a	true
a	p	a	g	i	true
a	p	a	g	o	true
a	p	a	g	ă	true
a	p	a	i	-	false
a	p	a	i	a	true
a	p	a	i	e	true
a	p	a	i	n	false
a	p	a	j	-	false
a	p	a	j	e	true
a	p	a	j	o	true
a	p	a	j	u	true
a	p	a	k	i	true
a	p	a	l	-	false
a	p	a	l	e	true
a	p	a	l	i	false
a	p	a	l	i	true
a	p	a	l	m	false
a	p	a	l	o	true
a	p	a	l	ă	true
a	p	a	m	-	false
a	p	a	m	a	true
a	p	a	m	e	true
a	p	a	m	o	true
a	p	a	m	â	true
a	p	a	n	-	false
a	p	a	n	a	true
a	p	a	n	e	true
a	p	a	n	g	false
a	p	a	n	i	false
a	p	a	n	i	true
a	p	a	n	l	false
a	p	a	n	o	true
a	p	a	n	t	false
a	p	a	n	u	true
a	p	a	n	ț	false
a	p	a	p	-	false
a	p	a	p	a	true
a	p	a	p	e	true
a	p	a	p	i	true
a	p	a	p	u	true
a	p	a	p	ă	true
a	p	a	r	-	false
a	p	a	r	a	true
a	p	a	r	c	false
a	p	a	r	e	true
a	p	a	r	i	false
a	p	a	r	i	true
a	p	a	r	l	false
a	p	a	r	o	true
a	p	a	r	s	false
a	p	a	r	t	false
a	p	a	r	u	true
a	p	a	r	â	true
a	p	a	r	ă	true
a	p	a	r	ț	false
a	p	a	s	-	false
a	p	a	s	e	true
a	p	a	s	t	false
a	p	a	s	u	true
a	p	a	s	ă	true
a	p	a	t	-	false
a	p	a	t	e	true
a	p	a	t	i	true
a	p	a	t	o	true
a	p	a	t	r	true
a	p	a	t	u	true
a	p	a	t	ă	true
a	p	a	u	-	false
a	p	a	u	z	true
a	p	a	v	e	true
a	p	a	x	-	false
a	p	a	x	u	true
a	p	a	z	a	true
a	p	a	z	l	false
a	p	a	z	o	true
a	p	a	ș	-	false
a	p	a	ș	i	false
a	p	a	ș	i	true
a	p	a	ș	t	false
a	p	a	ș	u	true
a	p	a	ț	-	false
a	p	a	ț	i	false
a	p	a	ț	i	true
a	p	a	ț	u	true
a	p	c	a	-	false
a	p	c	a	l	false
a	p	c	a	n	false
a	p	c	e	-	false
a	p	c	e	i	false
a	p	c	i	a	false
a	p	c	i	e	false
a	p	c	i	i	false
a	p	c	i	l	false
a	p	c	i	u	false
a	p	c	â	n	false
a	p	c	ă	-	false
a	p	d	e	c	false
a	p	d	e	m	false
a	p	e	a	-	false
a	p	e	a	u	false
a	p	e	a	z	false
a	p	e	d	e	true
a	p	e	d	u	true
a	p	e	f	o	true
a	p	e	i	-	false
a	p	e	i	f	false
a	p	e	l	-	false
a	p	e	l	a	true
a	p	e	l	e	true
a	p	e	l	i	true
a	p	e	l	l	false
a	p	e	l	m	false
a	p	e	l	o	true
a	p	e	l	p	false
a	p	e	l	u	true
a	p	e	l	â	true
a	p	e	l	ă	true
a	p	e	n	d	false
a	p	e	n	e	true
a	p	e	n	i	false
a	p	e	p	s	false
a	p	e	r	-	false
a	p	e	r	a	true
a	p	e	r	c	false
a	p	e	r	e	true
a	p	e	r	i	false
a	p	e	r	i	true
a	p	e	r	m	false
a	p	e	r	s	false
a	p	e	r	t	false
a	p	e	r	u	true
a	p	e	r	ă	true
a	p	e	s	e	true
a	p	e	s	t	false
a	p	e	t	-	false
a	p	e	t	a	true
a	p	e	t	e	true
a	p	e	t	i	true
a	p	e	t	u	true
a	p	e	t	â	true
a	p	e	t	ă	true
a	p	e	u	-	false
a	p	e	u	c	true
a	p	e	u	l	true
a	p	e	u	t	false
a	p	e	u	t	true
a	p	e	u	ț	false
a	p	e	u	ț	true
a	p	e	x	-	false
a	p	e	x	u	true
a	p	e	z	-	false
a	p	e	z	a	true
a	p	e	z	e	true
a	p	e	z	i	false
a	p	e	z	i	true
a	p	e	z	o	true
a	p	e	z	u	true
a	p	e	z	ă	true
a	p	e	ș	-	false
a	p	e	ș	e	true
a	p	e	ș	i	false
a	p	e	ș	t	false
a	p	e	ș	ă	true
a	p	e	ț	i	false
a	p	e	ț	i	true
a	p	i	a	-	true
a	p	i	a	z	false
a	p	i	c	-	false
a	p	i	c	a	true
a	p	i	c	e	true
a	p	i	c	i	false
a	p	i	c	i	true
a	p	i	c	o	true
a	p	i	c	u	true
a	p	i	c	â	true
a	p	i	c	ă	true
a	p	i	d	-	false
a	p	i	d	a	true
a	p	i	d	e	true
a	p	i	d	i	true
a	p	i	d	o	true
a	p	i	d	u	true
a	p	i	d	â	true
a	p	i	d	ă	true
a	p	i	e	-	true
a	p	i	e	i	true
a	p	i	e	n	false
a	p	i	e	n	true
a	p	i	e	r	true
a	p	i	e	z	true
a	p	i	f	i	true
a	p	i	f	o	true
a	p	i	f	u	true
a	p	i	i	-	false
a	p	i	i	l	true
a	p	i	i	n	false
a	p	i	i	r	false
a	p	i	l	-	false
a	p	i	l	a	true
a	p	i	l	e	true
a	p	i	l	i	false
a	p	i	l	i	true
a	p	i	l	o	true
a	p	i	l	ă	true
a	p	i	n	-	false
a	p	i	n	a	true
a	p	i	n	d	false
a	p	i	n	e	true
a	p	i	n	o	true
a	p	i	n	u	true
a	p	i	n	ă	true
a	p	i	o	a	true
a	p	i	o	c	true
a	p	i	o	l	false
a	p	i	o	l	true
a	p	i	o	n	false
a	p	i	o	n	true
a	p	i	o	t	true
a	p	i	r	-	false
a	p	i	r	e	true
a	p	i	r	i	false
a	p	i	r	i	true
a	p	i	r	o	true
a	p	i	r	u	true
a	p	i	s	-	false
a	p	i	s	a	true
a	p	i	s	c	false
a	p	i	s	e	true
a	p	i	s	i	true
a	p	i	s	l	false
a	p	i	s	l	true
a	p	i	s	m	false
a	p	i	s	t	false
a	p	i	s	u	true
a	p	i	s	â	true
a	p	i	s	ă	true
a	p	i	t	a	true
a	p	i	t	e	true
a	p	i	t	o	true
a	p	i	t	u	true
a	p	i	t	â	true
a	p	i	t	ă	true
a	p	i	u	-	false
a	p	i	u	l	false
a	p	i	u	n	true
a	p	i	z	a	true
a	p	i	z	e	true
a	p	i	z	i	false
a	p	i	z	â	true
a	p	i	z	ă	true
a	p	i	ș	o	true
a	p	i	ș	t	false
a	p	i	ț	a	true
a	p	i	ț	e	true
a	p	i	ț	i	false
a	p	i	ț	â	true
a	p	i	ț	ă	true
a	p	l	a	c	false
a	p	l	a	m	false
a	p	l	a	n	false
a	p	l	a	s	false
a	p	l	a	t	false
a	p	l	a	u	false
a	p	l	a	z	false
a	p	l	a	ț	false
a	p	l	e	a	false
a	p	l	e	c	false
a	p	l	e	g	false
a	p	l	e	r	false
a	p	l	e	u	false
a	p	l	e	x	false
a	p	l	e	ș	false
a	p	l	i	c	false
a	p	l	i	n	false
a	p	l	i	t	false
a	p	l	o	b	false
a	p	l	o	f	false
a	p	l	o	i	false
a	p	l	o	l	false
a	p	l	o	m	false
a	p	l	o	n	false
a	p	l	o	p	false
a	p	l	o	t	false
a	p	n	e	e	false
a	p	n	e	g	false
a	p	n	e	l	false
a	p	n	e	u	false
a	p	n	i	c	false
a	p	n	o	m	false
a	p	o	a	d	false
a	p	o	a	n	false
a	p	o	a	r	false
a	p	o	a	s	false
a	p	o	a	t	false
a	p	o	c	-	false
a	p	o	c	a	true
a	p	o	c	e	true
a	p	o	c	i	true
a	p	o	c	o	true
a	p	o	c	r	true
a	p	o	c	u	true
a	p	o	d	-	false
a	p	o	d	a	true
a	p	o	d	e	true
a	p	o	d	i	true
a	p	o	d	o	true
a	p	o	d	u	true
a	p	o	d	ă	true
a	p	o	e	t	true
a	p	o	f	a	true
a	p	o	f	e	true
a	p	o	f	i	true
a	p	o	f	o	true
a	p	o	f	t	false
a	p	o	g	a	true
a	p	o	g	e	true
a	p	o	g	i	true
a	p	o	i	-	false
a	p	o	i	a	true
a	p	o	i	e	true
a	p	o	i	n	true
a	p	o	l	a	true
a	p	o	l	e	true
a	p	o	l	i	true
a	p	o	l	o	true
a	p	o	l	â	true
a	p	o	l	ă	true
a	p	o	m	a	true
a	p	o	m	e	true
a	p	o	m	i	true
a	p	o	m	o	true
a	p	o	n	-	false
a	p	o	n	a	true
a	p	o	n	d	false
a	p	o	n	e	true
a	p	o	n	i	false
a	p	o	n	i	true
a	p	o	n	t	false
a	p	o	n	u	true
a	p	o	n	â	true
a	p	o	n	ă	true
a	p	o	p	i	true
a	p	o	p	l	true
a	p	o	p	u	true
a	p	o	r	-	false
a	p	o	r	a	true
a	p	o	r	c	false
a	p	o	r	e	true
a	p	o	r	g	false
a	p	o	r	i	false
a	p	o	r	i	true
a	p	o	r	n	false
a	p	o	r	o	true
a	p	o	r	t	false
a	p	o	r	u	true
a	p	o	r	â	true
a	p	o	r	ă	true
a	p	o	r	ț	false
a	p	o	s	-	false
a	p	o	s	i	true
a	p	o	s	t	false
a	p	o	s	t	true
a	p	o	t	-	false
a	p	o	t	a	true
a	p	o	t	e	true
a	p	o	t	i	true
a	p	o	t	r	true
a	p	o	t	u	true
a	p	o	t	â	true
a	p	o	t	ă	true
a	p	o	u	-	false
a	p	o	u	l	true
a	p	o	v	i	true
a	p	o	z	a	true
a	p	o	z	e	true
a	p	o	z	i	false
a	p	o	z	i	true
a	p	o	z	o	true
a	p	o	z	â	true
a	p	o	z	ă	true
a	p	o	ș	-	false
a	p	o	ș	e	true
a	p	o	ș	i	false
a	p	o	ș	n	false
a	p	o	ș	ă	true
a	p	o	ț	e	true
a	p	p	a	-	false
a	p	p	a	n	false
a	p	p	a	s	false
a	p	p	i	n	false
a	p	r	a	-	false
a	p	r	a	c	false
a	p	r	a	n	false
a	p	r	a	x	false
a	p	r	a	z	false
a	p	r	e	-	false
a	p	r	e	a	false
a	p	r	e	c	false
a	p	r	e	f	false
a	p	r	e	g	false
a	p	r	e	h	false
a	p	r	e	i	false
a	p	r	e	l	false
a	p	r	e	n	false
a	p	r	e	o	false
a	p	r	e	s	false
a	p	r	e	t	false
a	p	r	e	ț	false
a	p	r	i	a	false
a	p	r	i	c	false
a	p	r	i	f	false
a	p	r	i	g	false
a	p	r	i	l	false
a	p	r	i	m	false
a	p	r	i	n	false
a	p	r	i	o	false
a	p	r	i	s	false
a	p	r	o	a	false
a	p	r	o	b	false
a	p	r	o	d	false
a	p	r	o	f	false
a	p	r	o	g	false
a	p	r	o	i	false
a	p	r	o	l	false
a	p	r	o	n	false
a	p	r	o	p	false
a	p	r	o	s	false
a	p	r	o	t	false
a	p	r	o	v	false
a	p	r	o	x	false
a	p	r	o	z	false
a	p	r	o	ș	false
a	p	r	ă	-	false
a	p	r	ă	n	false
a	p	r	ă	z	false
a	p	s	a	-	false
a	p	s	a	i	false
a	p	s	a	m	false
a	p	s	a	r	false
a	p	s	a	s	false
a	p	s	a	t	false
a	p	s	a	u	false
a	p	s	a	ș	false
a	p	s	a	ț	false
a	p	s	e	-	false
a	p	s	e	a	false
a	p	s	e	i	false
a	p	s	e	l	false
a	p	s	e	r	false
a	p	s	e	z	false
a	p	s	i	d	false
a	p	s	i	h	false
a	p	s	i	n	false
a	p	s	o	d	false
a	p	s	o	m	false
a	p	s	o	t	false
a	p	s	o	z	false
a	p	s	u	l	false
a	p	s	u	r	false
a	p	s	â	n	false
a	p	s	ă	-	false
a	p	s	ă	m	false
a	p	s	ă	r	false
a	p	t	a	-	false
a	p	t	a	b	false
a	p	t	a	i	false
a	p	t	a	l	false
a	p	t	a	m	false
a	p	t	a	n	false
a	p	t	a	r	false
a	p	t	a	s	false
a	p	t	a	t	false
a	p	t	a	u	false
a	p	t	a	ș	false
a	p	t	a	ț	false
a	p	t	e	-	false
a	p	t	e	a	false
a	p	t	e	d	false
a	p	t	e	i	false
a	p	t	e	l	false
a	p	t	e	r	false
a	p	t	e	s	false
a	p	t	e	z	false
a	p	t	i	c	false
a	p	t	i	s	false
a	p	t	i	t	false
a	p	t	i	v	false
a	p	t	i	x	false
a	p	t	i	ș	false
a	p	t	o	a	false
a	p	t	o	l	false
a	p	t	o	m	false
a	p	t	o	r	false
a	p	t	o	t	false
a	p	t	u	l	false
a	p	t	u	r	false
a	p	t	u	s	false
a	p	t	â	n	false
a	p	t	ă	-	false
a	p	t	ă	m	false
a	p	t	ă	n	false
a	p	t	ă	r	false
a	p	u	a	ș	true
a	p	u	c	-	false
a	p	u	c	a	true
a	p	u	c	e	true
a	p	u	c	i	false
a	p	u	c	i	true
a	p	u	c	u	true
a	p	u	c	â	true
a	p	u	c	ă	true
a	p	u	d	-	false
a	p	u	g	i	true
a	p	u	i	-	false
a	p	u	k	-	false
a	p	u	k	u	true
a	p	u	l	-	false
a	p	u	l	a	false
a	p	u	l	a	true
a	p	u	l	e	true
a	p	u	l	l	false
a	p	u	l	n	false
a	p	u	l	o	true
a	p	u	l	r	false
a	p	u	l	t	false
a	p	u	l	u	true
a	p	u	l	ă	true
a	p	u	l	ș	false
a	p	u	m	a	true
a	p	u	m	ă	true
a	p	u	n	-	false
a	p	u	n	c	false
a	p	u	n	e	true
a	p	u	n	i	false
a	p	u	n	t	false
a	p	u	n	â	true
a	p	u	n	ă	true
a	p	u	p	-	false
a	p	u	p	a	true
a	p	u	p	e	true
a	p	u	p	i	false
a	p	u	p	â	true
a	p	u	p	ă	true
a	p	u	r	-	false
a	p	u	r	a	true
a	p	u	r	i	false
a	p	u	r	i	true
a	p	u	r	u	true
a	p	u	r	ă	true
a	p	u	s	-	false
a	p	u	s	e	true
a	p	u	s	u	true
a	p	u	s	ă	true
a	p	u	t	e	true
a	p	u	t	u	true
a	p	u	ș	i	false
a	p	u	ț	i	true
a	p	â	n	d	false
a	p	î	n	t	false
a	p	ă	a	-	true
a	p	ă	d	-	false
a	p	ă	d	u	true
a	p	ă	d	ă	true
a	p	ă	f	o	true
a	p	ă	g	r	true
a	p	ă	i	-	false
a	p	ă	l	-	false
a	p	ă	l	a	true
a	p	ă	l	e	true
a	p	ă	l	o	true
a	p	ă	m	-	false
a	p	ă	m	â	true
a	p	ă	n	-	false
a	p	ă	n	e	true
a	p	ă	n	u	true
a	p	ă	n	ă	true
a	p	ă	r	-	false
a	p	ă	r	a	true
a	p	ă	r	e	true
a	p	ă	r	i	false
a	p	ă	r	i	true
a	p	ă	r	u	true
a	p	ă	r	â	true
a	p	ă	r	ă	true
a	p	ă	s	-	false
a	p	ă	s	a	true
a	p	ă	s	â	true
a	p	ă	s	ă	true
a	p	ă	t	-	false
a	p	ă	t	o	true
a	p	ă	t	u	true
a	p	ă	t	ă	true
a	p	ș	a	-	false
a	p	ș	e	-	false
a	p	ș	e	i	false
a	p	ș	e	l	false
a	p	ș	e	r	false
a	p	ș	o	a	false
a	p	ș	ă	-	false
a	p	ț	i	-	false
a	p	ț	i	a	false
a	p	ț	i	e	false
a	p	ț	i	i	false
a	p	ț	i	l	false
a	p	ț	ă	n	false
a	q	u	i	s	false
a	r	a	a	c	true
a	r	a	a	l	true
a	r	a	a	m	true
a	r	a	b	-	false
a	r	a	b	a	true
a	r	a	b	e	true
a	r	a	b	i	false
a	r	a	b	i	true
a	r	a	b	o	true
a	r	a	b	u	true
a	r	a	b	ă	true
a	r	a	c	-	false
a	r	a	c	a	true
a	r	a	c	c	false
a	r	a	c	e	true
a	r	a	c	h	true
a	r	a	c	i	false
a	r	a	c	i	true
a	r	a	c	l	true
a	r	a	c	r	true
a	r	a	c	t	false
a	r	a	c	u	true
a	r	a	c	ă	true
a	r	a	d	-	false
a	r	a	d	a	true
a	r	a	d	e	true
a	r	a	d	i	true
a	r	a	d	m	false
a	r	a	d	o	true
a	r	a	d	r	true
a	r	a	d	u	true
a	r	a	d	â	true
a	r	a	d	ă	true
a	r	a	e	t	true
a	r	a	f	-	false
a	r	a	f	a	true
a	r	a	f	e	true
a	r	a	f	i	false
a	r	a	f	i	true
a	r	a	f	l	true
a	r	a	f	o	true
a	r	a	f	r	true
a	r	a	f	t	false
a	r	a	f	u	true
a	r	a	f	â	true
a	r	a	f	ă	true
a	r	a	g	a	true
a	r	a	g	d	false
a	r	a	g	e	true
a	r	a	g	h	true
a	r	a	g	i	true
a	r	a	g	l	true
a	r	a	g	n	false
a	r	a	g	o	true
a	r	a	g	r	true
a	r	a	g	u	true
a	r	a	h	i	true
a	r	a	h	n	false
a	r	a	i	-	false
a	r	a	i	b	false
a	r	a	i	l	true
a	r	a	i	m	false
a	r	a	i	m	true
a	r	a	i	u	true
a	r	a	j	-	false
a	r	a	j	a	true
a	r	a	j	e	true
a	r	a	j	i	true
a	r	a	j	u	true
a	r	a	l	-	false
a	r	a	l	a	true
a	r	a	l	d	false
a	r	a	l	e	true
a	r	a	l	i	false
a	r	a	l	i	true
a	r	a	l	o	true
a	r	a	l	u	true
a	r	a	l	â	true
a	r	a	l	ă	true
a	r	a	m	-	false
a	r	a	m	a	true
a	r	a	m	b	false
a	r	a	m	e	true
a	r	a	m	i	true
a	r	a	m	n	false
a	r	a	m	p	false
a	r	a	m	u	true
a	r	a	m	z	false
a	r	a	m	â	true
a	r	a	m	ă	true
