b21	b10	a01	a12	a23	syl
e	p	ș	i	n	true
e	p	ș	i	r	true
e	p	ș	i	s	true
e	p	ș	i	t	true
e	p	ș	i	ș	true
e	p	ș	i	ț	true
e	p	ș	u	n	false
e	p	ț	e	n	true
e	p	ț	e	ș	true
e	p	ț	i	-	false
e	p	ț	i	a	true
e	p	ț	i	e	true
e	p	ț	i	i	true
e	p	ț	i	l	true
e	p	ț	i	o	true
e	p	ț	ă	n	true
e	q	u	a	t	false
e	q	u	o	i	false
e	r	a	-	-	false
e	r	a	b	i	false
e	r	a	c	e	false
e	r	a	c	i	false
e	r	a	c	i	true
e	r	a	c	l	false
e	r	a	c	o	false
e	r	a	c	r	false
e	r	a	c	t	false
e	r	a	c	u	false
e	r	a	c	u	true
e	r	a	c	ț	false
e	r	a	c	ț	true
e	r	a	d	a	false
e	r	a	d	e	false
e	r	a	d	i	false
e	r	a	e	r	false
e	r	a	f	-	false
e	r	a	f	a	false
e	r	a	f	i	false
e	r	a	f	o	false
e	r	a	f	u	false
e	r	a	h	-	false
e	r	a	h	i	false
e	r	a	h	u	false
e	r	a	i	-	false
e	r	a	i	a	false
e	r	a	i	e	false
e	r	a	i	n	false
e	r	a	i	u	false
e	r	a	j	-	false
e	r	a	j	e	false
e	r	a	j	u	false
e	r	a	l	-	false
e	r	a	l	a	false
e	r	a	l	c	false
e	r	a	l	d	false
e	r	a	l	e	false
e	r	a	l	g	false
e	r	a	l	g	true
e	r	a	l	i	false
e	r	a	l	i	true
e	r	a	l	l	false
e	r	a	l	m	false
e	r	a	l	o	false
e	r	a	l	u	false
e	r	a	l	z	false
e	r	a	l	ă	false
e	r	a	m	-	false
e	r	a	m	a	false
e	r	a	m	b	false
e	r	a	m	e	false
e	r	a	m	i	false
e	r	a	m	o	false
e	r	a	m	z	false
e	r	a	m	ă	false
e	r	a	n	-	false
e	r	a	n	a	false
e	r	a	n	d	false
e	r	a	n	e	false
e	r	a	n	g	false
e	r	a	n	g	true
e	r	a	n	i	false
e	r	a	n	j	false
e	r	a	n	o	false
e	r	a	n	o	true
e	r	a	n	s	false
e	r	a	n	t	false
e	r	a	n	u	false
e	r	a	n	ă	false
e	r	a	n	ț	false
e	r	a	p	a	false
e	r	a	p	e	false
e	r	a	p	i	false
e	r	a	p	l	false
e	r	a	p	â	false
e	r	a	p	ă	false
e	r	a	r	-	false
e	r	a	r	a	false
e	r	a	r	b	false
e	r	a	r	b	true
e	r	a	r	d	false
e	r	a	r	e	false
e	r	a	r	g	false
e	r	a	r	g	true
e	r	a	r	h	false
e	r	a	r	i	false
e	r	a	r	t	false
e	r	a	r	u	false
e	r	a	r	ă	false
e	r	a	s	-	false
e	r	a	s	a	false
e	r	a	s	c	false
e	r	a	s	e	false
e	r	a	s	i	false
e	r	a	s	m	false
e	r	a	s	t	false
e	r	a	s	t	true
e	r	a	s	u	false
e	r	a	s	â	false
e	r	a	s	ă	false
e	r	a	t	-	false
e	r	a	t	a	false
e	r	a	t	e	false
e	r	a	t	i	false
e	r	a	t	o	false
e	r	a	t	o	true
e	r	a	t	r	false
e	r	a	t	u	false
e	r	a	t	ă	false
e	r	a	u	-	false
e	r	a	u	a	false
e	r	a	u	l	false
e	r	a	z	-	false
e	r	a	z	a	false
e	r	a	z	e	false
e	r	a	z	i	false
e	r	a	z	u	false
e	r	a	z	ă	false
e	r	a	ș	-	false
e	r	a	ș	e	false
e	r	a	ș	i	false
e	r	a	ș	t	false
e	r	a	ș	u	false
e	r	a	ț	i	false
e	r	b	-	-	false
e	r	b	-	-	true
e	r	b	a	-	true
e	r	b	a	c	true
e	r	b	a	i	true
e	r	b	a	l	true
e	r	b	a	m	true
e	r	b	a	n	true
e	r	b	a	r	false
e	r	b	a	r	true
e	r	b	a	s	true
e	r	b	a	t	true
e	r	b	a	u	true
e	r	b	a	ș	true
e	r	b	a	ț	true
e	r	b	e	-	true
e	r	b	e	a	true
e	r	b	e	c	true
e	r	b	e	d	false
e	r	b	e	d	true
e	r	b	e	g	true
e	r	b	e	i	true
e	r	b	e	l	true
e	r	b	e	m	true
e	r	b	e	n	true
e	r	b	e	r	true
e	r	b	e	s	true
e	r	b	e	t	true
e	r	b	e	z	true
e	r	b	e	ș	true
e	r	b	e	ț	true
e	r	b	i	-	false
e	r	b	i	-	true
e	r	b	i	a	true
e	r	b	i	c	true
e	r	b	i	e	true
e	r	b	i	g	true
e	r	b	i	i	true
e	r	b	i	l	true
e	r	b	i	m	true
e	r	b	i	n	true
e	r	b	i	r	true
e	r	b	i	s	true
e	r	b	i	t	true
e	r	b	i	u	true
e	r	b	i	v	true
e	r	b	i	ș	true
e	r	b	i	ț	true
e	r	b	o	a	false
e	r	b	o	a	true
e	r	b	o	l	true
e	r	b	o	m	true
e	r	b	o	r	true
e	r	b	o	s	false
e	r	b	o	z	true
e	r	b	o	ș	false
e	r	b	u	l	false
e	r	b	u	l	true
e	r	b	u	r	true
e	r	b	u	ș	false
e	r	b	u	ț	false
e	r	b	â	n	true
e	r	b	ă	-	true
e	r	b	ă	l	false
e	r	b	ă	m	true
e	r	b	ă	r	false
e	r	b	ă	r	true
e	r	b	ă	t	true
e	r	c	-	-	false
e	r	c	a	-	true
e	r	c	a	i	true
e	r	c	a	l	true
e	r	c	a	m	true
e	r	c	a	n	true
e	r	c	a	p	true
e	r	c	a	r	true
e	r	c	a	s	true
e	r	c	a	t	true
e	r	c	a	u	true
e	r	c	a	ș	true
e	r	c	a	ț	true
e	r	c	e	-	true
e	r	c	e	a	true
e	r	c	e	d	true
e	r	c	e	i	true
e	r	c	e	l	true
e	r	c	e	n	true
e	r	c	e	o	true
e	r	c	e	p	true
e	r	c	e	r	true
e	r	c	e	s	true
e	r	c	e	t	true
e	r	c	e	v	true
e	r	c	h	e	true
e	r	c	h	i	true
e	r	c	i	-	false
e	r	c	i	a	true
e	r	c	i	b	true
e	r	c	i	c	true
e	r	c	i	e	true
e	r	c	i	i	true
e	r	c	i	l	true
e	r	c	i	m	true
e	r	c	i	n	true
e	r	c	i	t	true
e	r	c	i	u	true
e	r	c	i	ț	true
e	r	c	l	a	true
e	r	c	l	o	true
e	r	c	l	u	true
e	r	c	o	l	true
e	r	c	o	m	true
e	r	c	o	n	true
e	r	c	o	o	true
e	r	c	o	p	true
e	r	c	o	r	true
e	r	c	o	s	true
e	r	c	o	t	true
e	r	c	o	z	true
e	r	c	r	a	true
e	r	c	u	g	true
e	r	c	u	i	true
e	r	c	u	l	true
e	r	c	u	r	true
e	r	c	u	s	true
e	r	c	u	t	true
e	r	c	u	ș	true
e	r	c	u	ț	true
e	r	c	â	n	true
e	r	c	ă	-	true
e	r	c	ă	m	true
e	r	c	ă	n	true
e	r	c	ă	r	true
e	r	c	ă	t	true
e	r	d	-	-	false
e	r	d	-	-	true
e	r	d	a	-	true
e	r	d	a	c	true
e	r	d	a	f	true
e	r	d	a	i	true
e	r	d	a	m	true
e	r	d	a	n	true
e	r	d	a	p	true
e	r	d	a	r	true
e	r	d	a	s	true
e	r	d	a	t	true
e	r	d	a	u	true
e	r	d	a	ș	true
e	r	d	a	ț	true
e	r	d	e	-	true
e	r	d	e	a	true
e	r	d	e	c	true
e	r	d	e	g	true
e	r	d	e	i	true
e	r	d	e	l	true
e	r	d	e	m	true
e	r	d	e	n	true
e	r	d	e	p	true
e	r	d	e	r	true
e	r	d	e	v	true
e	r	d	e	ț	true
e	r	d	i	c	true
e	r	d	i	g	true
e	r	d	i	n	true
e	r	d	i	s	true
e	r	d	i	t	true
e	r	d	i	ț	true
e	r	d	o	m	true
e	r	d	o	t	true
e	r	d	o	ț	true
e	r	d	u	-	true
e	r	d	u	i	true
e	r	d	u	l	true
e	r	d	u	r	true
e	r	d	u	s	true
e	r	d	u	t	true
e	r	d	u	ș	true
e	r	d	u	ț	true
e	r	d	â	n	true
e	r	d	ă	-	true
e	r	d	ă	c	true
e	r	d	ă	f	true
e	r	d	ă	m	true
e	r	d	ă	r	true
e	r	d	ă	t	true
e	r	e	-	-	false
e	r	e	-	-	true
e	r	e	a	-	false
e	r	e	a	a	false
e	r	e	a	c	false
e	r	e	a	i	false
e	r	e	a	l	false
e	r	e	a	m	false
e	r	e	a	n	false
e	r	e	a	p	false
e	r	e	a	s	false
e	r	e	a	u	false
e	r	e	a	z	false
e	r	e	a	ț	false
e	r	e	b	e	false
e	r	e	b	i	false
e	r	e	b	r	false
e	r	e	c	-	false
e	r	e	c	a	false
e	r	e	c	e	false
e	r	e	c	h	false
e	r	e	c	i	false
e	r	e	c	o	false
e	r	e	c	r	false
e	r	e	c	t	false
e	r	e	c	t	true
e	r	e	c	u	false
e	r	e	c	â	false
e	r	e	c	ă	false
e	r	e	c	ț	false
e	r	e	d	a	false
e	r	e	d	e	false
e	r	e	d	i	false
e	r	e	d	o	false
e	r	e	d	u	false
e	r	e	e	-	false
e	r	e	f	l	false
e	r	e	f	t	false
e	r	e	g	a	false
e	r	e	g	e	false
e	r	e	g	i	false
e	r	e	g	l	false
e	r	e	g	r	false
e	r	e	g	u	false
e	r	e	i	-	false
e	r	e	i	a	false
e	r	e	i	c	false
e	r	e	i	d	false
e	r	e	i	e	false
e	r	e	i	i	false
e	r	e	i	l	false
e	r	e	l	-	false
e	r	e	l	e	false
e	r	e	l	e	true
e	r	e	l	i	false
e	r	e	l	o	false
e	r	e	l	o	true
e	r	e	l	u	false
e	r	e	m	-	false
e	r	e	m	a	false
e	r	e	m	e	false
e	r	e	m	i	false
e	r	e	m	i	true
e	r	e	m	o	false
e	r	e	m	o	true
e	r	e	m	p	false
e	r	e	m	u	false
e	r	e	m	ă	false
e	r	e	n	-	false
e	r	e	n	a	false
e	r	e	n	c	false
e	r	e	n	d	false
e	r	e	n	e	false
e	r	e	n	g	false
e	r	e	n	i	false
e	r	e	n	t	false
e	r	e	n	u	false
e	r	e	n	z	false
e	r	e	n	ă	false
e	r	e	n	ț	false
e	r	e	o	-	false
e	r	e	o	a	false
e	r	e	o	b	false
e	r	e	o	c	false
e	r	e	o	d	false
e	r	e	o	f	false
e	r	e	o	g	false
e	r	e	o	i	false
e	r	e	o	m	false
e	r	e	o	p	false
e	r	e	o	r	false
e	r	e	o	s	false
e	r	e	o	t	false
e	r	e	p	a	false
e	r	e	p	e	false
e	r	e	p	o	false
e	r	e	p	r	false
e	r	e	p	s	false
e	r	e	r	a	false
e	r	e	r	e	false
e	r	e	r	i	false
e	r	e	s	-	false
e	r	e	s	a	false
e	r	e	s	c	false
e	r	e	s	e	false
e	r	e	s	i	false
e	r	e	s	p	false
e	r	e	s	t	false
e	r	e	s	t	true
e	r	e	s	u	false
e	r	e	s	â	false
e	r	e	s	ă	false
e	r	e	t	-	false
e	r	e	t	a	false
e	r	e	t	e	false
e	r	e	t	i	false
e	r	e	t	n	false
e	r	e	t	r	false
e	r	e	t	u	false
e	r	e	t	ă	false
e	r	e	u	-	false
e	r	e	u	a	false
e	r	e	u	l	false
e	r	e	u	r	false
e	r	e	u	t	false
e	r	e	u	ș	false
e	r	e	v	e	false
e	r	e	v	o	false
e	r	e	x	c	false
e	r	e	x	c	true
e	r	e	z	-	false
e	r	e	z	a	false
e	r	e	z	e	false
e	r	e	z	i	false
e	r	e	z	o	false
e	r	e	z	u	false
e	r	e	z	ă	false
e	r	e	ș	-	false
e	r	e	ș	e	false
e	r	e	ș	i	false
e	r	e	ș	t	false
e	r	e	ș	ă	false
e	r	e	ț	e	false
e	r	e	ț	i	false
e	r	f	a	z	true
e	r	f	a	ț	true
e	r	f	e	-	true
e	r	f	e	c	true
e	r	f	e	i	true
e	r	f	e	l	true
e	r	f	e	n	true
e	r	f	e	r	true
e	r	f	e	ț	true
e	r	f	i	c	true
e	r	f	i	d	true
e	r	f	i	n	true
e	r	f	i	z	true
e	r	f	l	u	true
e	r	f	o	a	true
e	r	f	o	g	true
e	r	f	o	l	true
e	r	f	o	n	true
e	r	f	o	r	true
e	r	f	o	s	true
e	r	f	r	e	true
e	r	f	u	g	true
e	r	f	u	i	true
e	r	f	u	l	true
e	r	f	u	n	true
e	r	f	u	z	true
e	r	g	-	-	false
e	r	g	a	-	true
e	r	g	a	i	true
e	r	g	a	l	true
e	r	g	a	m	true
e	r	g	a	n	true
e	r	g	a	r	true
e	r	g	a	s	true
e	r	g	a	t	true
e	r	g	a	u	true
e	r	g	a	ș	true
e	r	g	a	ț	true
e	r	g	e	-	true
e	r	g	e	a	true
e	r	g	e	i	true
e	r	g	e	l	true
e	r	g	e	m	true
e	r	g	e	n	true
e	r	g	e	r	true
e	r	g	e	t	true
e	r	g	e	ț	true
e	r	g	h	e	true
e	r	g	h	i	true
e	r	g	i	-	false
e	r	g	i	a	true
e	r	g	i	b	true
e	r	g	i	c	true
e	r	g	i	d	true
e	r	g	i	e	true
e	r	g	i	i	true
e	r	g	i	l	true
e	r	g	i	m	true
e	r	g	i	s	true
e	r	g	i	u	true
e	r	g	i	v	true
e	r	g	i	z	true
e	r	g	l	a	true
e	r	g	l	i	true
e	r	g	l	o	true
e	r	g	o	c	true
e	r	g	o	d	true
e	r	g	o	f	true
e	r	g	o	g	true
e	r	g	o	i	true
e	r	g	o	l	true
e	r	g	o	m	true
e	r	g	o	n	true
e	r	g	o	p	true
e	r	g	o	s	true
e	r	g	o	t	true
e	r	g	o	z	true
e	r	g	r	i	true
e	r	g	u	-	true
e	r	g	u	i	true
e	r	g	u	l	true
e	r	g	u	m	true
e	r	g	u	r	true
e	r	g	u	s	true
e	r	g	u	t	true
e	r	g	u	v	true
e	r	g	u	ș	true
e	r	g	u	ț	true
e	r	g	â	n	true
e	r	g	ă	-	true
e	r	g	ă	m	true
e	r	g	ă	r	true
e	r	g	ă	t	true
e	r	h	a	-	true
e	r	h	a	n	true
e	r	h	a	t	true
e	r	h	e	-	true
e	r	h	e	i	true
e	r	h	e	t	true
e	r	h	i	d	true
e	r	h	o	r	true
e	r	h	ă	-	true
e	r	i	-	-	false
e	r	i	a	-	false
e	r	i	a	b	false
e	r	i	a	c	false
e	r	i	a	i	false
e	r	i	a	j	false
e	r	i	a	l	false
e	r	i	a	m	false
e	r	i	a	n	false
e	r	i	a	r	false
e	r	i	a	s	false
e	r	i	a	t	false
e	r	i	a	u	false
e	r	i	a	z	false
e	r	i	a	ș	false
e	r	i	a	ț	false
e	r	i	b	e	false
e	r	i	b	i	false
e	r	i	b	o	false
e	r	i	b	r	false
e	r	i	c	-	false
e	r	i	c	a	false
e	r	i	c	e	false
e	r	i	c	i	false
e	r	i	c	l	false
e	r	i	c	o	false
e	r	i	c	o	true
e	r	i	c	r	false
e	r	i	c	u	false
e	r	i	c	ă	false
e	r	i	c	ș	false
e	r	i	d	-	false
e	r	i	d	a	false
e	r	i	d	e	false
e	r	i	d	g	false
e	r	i	d	i	false
e	r	i	d	o	false
e	r	i	d	r	false
e	r	i	d	u	false
e	r	i	d	ă	false
e	r	i	e	-	false
e	r	i	e	c	false
e	r	i	e	g	false
e	r	i	e	i	false
e	r	i	e	l	false
e	r	i	e	m	false
e	r	i	e	n	false
e	r	i	e	r	false
e	r	i	e	s	false
e	r	i	e	t	false
e	r	i	e	z	false
e	r	i	e	ț	false
e	r	i	f	-	false
e	r	i	f	e	false
e	r	i	f	i	false
e	r	i	f	l	false
e	r	i	f	o	false
e	r	i	f	r	false
e	r	i	f	u	false
e	r	i	g	-	false
e	r	i	g	a	false
e	r	i	g	e	false
e	r	i	g	h	false
e	r	i	g	i	false
e	r	i	g	l	false
e	r	i	g	o	false
e	r	i	g	r	false
e	r	i	g	u	false
e	r	i	g	â	false
e	r	i	g	ă	false
e	r	i	h	e	false
e	r	i	i	-	false
e	r	i	i	a	false
e	r	i	i	i	false
e	r	i	i	l	false
e	r	i	i	n	false
e	r	i	j	a	false
e	r	i	j	e	false
e	r	i	j	â	false
e	r	i	j	ă	false
e	r	i	l	-	false
e	r	i	l	a	false
e	r	i	l	e	false
e	r	i	l	i	false
e	r	i	l	o	false
e	r	i	l	u	false
e	r	i	l	ă	false
e	r	i	m	-	false
e	r	i	m	a	false
e	r	i	m	e	false
e	r	i	m	i	false
e	r	i	m	o	false
e	r	i	m	u	false
e	r	i	m	â	false
e	r	i	m	ă	false
e	r	i	n	-	false
e	r	i	n	a	false
e	r	i	n	c	false
e	r	i	n	d	false
e	r	i	n	d	true
e	r	i	n	e	false
e	r	i	n	g	false
e	r	i	n	i	false
e	r	i	n	o	false
e	r	i	n	s	false
e	r	i	n	s	true
e	r	i	n	t	false
e	r	i	n	u	false
e	r	i	n	z	false
e	r	i	n	ă	false
e	r	i	n	ț	false
e	r	i	o	a	false
e	r	i	o	c	false
e	r	i	o	d	false
e	r	i	o	f	false
e	r	i	o	g	false
e	r	i	o	l	false
e	r	i	o	m	false
e	r	i	o	n	false
e	r	i	o	p	false
e	r	i	o	r	false
e	r	i	o	s	false
e	r	i	o	t	false
e	r	i	o	z	false
e	r	i	o	ș	false
e	r	i	p	a	false
e	r	i	p	e	false
e	r	i	p	i	false
e	r	i	p	l	false
e	r	i	p	t	false
e	r	i	r	e	false
e	r	i	r	i	false
e	r	i	r	ă	false
e	r	i	s	-	false
e	r	i	s	a	false
e	r	i	s	c	false
e	r	i	s	e	false
e	r	i	s	f	false
e	r	i	s	i	false
e	r	i	s	m	false
e	r	i	s	o	false
e	r	i	s	p	false
e	r	i	s	t	false
e	r	i	s	u	false
e	r	i	t	-	false
e	r	i	t	a	false
e	r	i	t	e	false
e	r	i	t	h	false
e	r	i	t	i	false
e	r	i	t	o	false
e	r	i	t	r	false
e	r	i	t	u	false
e	r	i	t	â	false
e	r	i	t	ă	false
e	r	i	u	-	false
e	r	i	u	l	false
e	r	i	u	m	false
e	r	i	u	n	false
e	r	i	u	r	false
e	r	i	u	ț	false
e	r	i	v	-	false
e	r	i	v	a	false
e	r	i	v	e	false
e	r	i	v	i	false
e	r	i	v	o	false
e	r	i	v	â	false
e	r	i	v	ă	false
e	r	i	x	-	false
e	r	i	x	u	false
e	r	i	z	a	false
e	r	i	z	e	false
e	r	i	z	i	false
e	r	i	z	o	false
e	r	i	z	â	false
e	r	i	z	ă	false
e	r	i	ș	-	false
e	r	i	ș	c	false
e	r	i	ș	i	false
e	r	i	ș	o	false
e	r	i	ș	t	false
e	r	i	ș	u	false
e	r	i	ț	a	false
e	r	i	ț	e	false
e	r	i	ț	i	false
e	r	i	ț	o	false
e	r	i	ț	u	false
e	r	i	ț	ă	false
e	r	j	-	-	false
e	r	j	a	-	true
e	r	j	a	r	true
e	r	j	e	-	true
e	r	j	e	c	true
e	r	j	e	i	true
e	r	j	e	l	true
e	r	j	e	r	true
e	r	j	i	-	false
e	r	j	i	i	true
e	r	j	i	l	true
e	r	j	u	d	true
e	r	j	u	l	true
e	r	j	u	r	true
e	r	j	ă	-	true
e	r	j	ă	r	true
e	r	k	e	l	true
e	r	k	e	t	true
e	r	l	-	-	false
e	r	l	a	-	true
e	r	l	a	c	true
e	r	l	a	i	true
e	r	l	a	j	true
e	r	l	a	m	true
e	r	l	a	n	true
e	r	l	a	r	true
e	r	l	a	s	true
e	r	l	a	t	true
e	r	l	a	u	true
e	r	l	a	ș	true
e	r	l	a	ț	true
e	r	l	e	-	true
e	r	l	e	a	true
e	r	l	e	i	true
e	r	l	e	l	true
e	r	l	e	s	true
e	r	l	e	z	true
e	r	l	e	ș	true
e	r	l	i	-	true
e	r	l	i	a	true
e	r	l	i	c	true
e	r	l	i	e	true
e	r	l	i	f	true
e	r	l	i	h	true
e	r	l	i	i	true
e	r	l	i	m	true
e	r	l	i	n	true
e	r	l	i	r	true
e	r	l	i	s	true
e	r	l	i	t	true
e	r	l	i	ș	true
e	r	l	i	ț	true
e	r	l	o	a	true
e	r	l	o	c	true
e	r	l	o	f	true
e	r	l	o	i	true
e	r	l	o	n	true
e	r	l	o	p	true
e	r	l	u	d	true
e	r	l	u	l	true
e	r	l	u	ș	true
e	r	l	u	ț	true
e	r	l	â	c	true
e	r	l	â	n	true
e	r	l	ă	-	true
e	r	l	ă	m	true
e	r	l	ă	r	true
e	r	m	-	-	false
e	r	m	a	-	true
e	r	m	a	c	true
e	r	m	a	f	false
e	r	m	a	f	true
e	r	m	a	g	true
e	r	m	a	i	true
e	r	m	a	j	true
e	r	m	a	l	true
e	r	m	a	n	true
e	r	m	a	p	true
e	r	m	a	r	true
e	r	m	a	s	true
e	r	m	a	t	true
e	r	m	e	-	true
e	r	m	e	a	true
e	r	m	e	c	true
e	r	m	e	d	true
e	r	m	e	i	true
e	r	m	e	l	true
e	r	m	e	n	true
e	r	m	e	s	true
e	r	m	e	t	true
e	r	m	e	z	true
e	r	m	i	-	false
e	r	m	i	a	true
e	r	m	i	c	true
e	r	m	i	d	true
e	r	m	i	e	true
e	r	m	i	f	true
e	r	m	i	i	true
e	r	m	i	l	true
e	r	m	i	n	false
e	r	m	i	n	true
e	r	m	i	o	false
e	r	m	i	o	true
e	r	m	i	s	true
e	r	m	i	t	true
e	r	m	i	u	true
e	r	m	i	v	true
e	r	m	i	z	true
e	r	m	i	ș	true
e	r	m	i	ț	true
e	r	m	n	e	true
e	r	m	o	a	true
e	r	m	o	b	true
e	r	m	o	c	true
e	r	m	o	d	true
e	r	m	o	e	true
e	r	m	o	f	true
e	r	m	o	g	true
e	r	m	o	h	true
e	r	m	o	i	true
e	r	m	o	l	true
e	r	m	o	m	true
e	r	m	o	n	true
e	r	m	o	p	true
e	r	m	o	r	false
e	r	m	o	r	true
e	r	m	o	s	true
e	r	m	o	t	true
e	r	m	o	v	true
e	r	m	o	z	true
e	r	m	u	i	true
e	r	m	u	l	true
e	r	m	u	s	true
e	r	m	u	t	true
e	r	m	u	ș	true
e	r	m	u	ț	true
e	r	m	ă	-	true
e	r	m	ă	n	true
e	r	m	ă	r	true
e	r	m	ă	t	true
e	r	n	-	-	false
e	r	n	-	-	true
e	r	n	a	-	false
e	r	n	a	-	true
e	r	n	a	b	true
e	r	n	a	c	true
e	r	n	a	i	false
e	r	n	a	i	true
e	r	n	a	l	true
e	r	n	a	m	false
e	r	n	a	m	true
e	r	n	a	n	true
e	r	n	a	r	false
e	r	n	a	r	true
e	r	n	a	s	false
e	r	n	a	s	true
e	r	n	a	t	false
e	r	n	a	t	true
e	r	n	a	u	false
e	r	n	a	u	true
e	r	n	a	v	true
e	r	n	a	ș	false
e	r	n	a	ș	true
e	r	n	a	ț	false
e	r	n	a	ț	true
e	r	n	e	-	true
e	r	n	e	a	false
e	r	n	e	a	true
e	r	n	e	i	true
e	r	n	e	l	true
e	r	n	e	m	true
e	r	n	e	o	true
e	r	n	e	r	true
e	r	n	e	s	true
e	r	n	e	t	true
e	r	n	e	v	true
e	r	n	e	z	false
e	r	n	e	z	true
e	r	n	e	ș	true
e	r	n	e	ț	true
e	r	n	i	-	false
e	r	n	i	-	true
e	r	n	i	a	true
e	r	n	i	c	true
e	r	n	i	e	true
e	r	n	i	f	true
e	r	n	i	i	true
e	r	n	i	l	true
e	r	n	i	m	true
e	r	n	i	n	true
e	r	n	i	o	true
e	r	n	i	r	true
e	r	n	i	s	true
e	r	n	i	t	true
e	r	n	i	z	true
e	r	n	i	ș	true
e	r	n	i	ț	true
e	r	n	m	a	false
e	r	n	o	a	true
e	r	n	o	c	true
e	r	n	o	d	true
e	r	n	o	g	true
e	r	n	o	m	true
e	r	n	o	r	true
e	r	n	o	s	true
e	r	n	o	t	true
e	r	n	o	u	true
e	r	n	o	v	true
e	r	n	o	z	true
e	r	n	o	ș	true
e	r	n	s	t	false
e	r	n	s	t	true
e	r	n	u	-	true
e	r	n	u	i	true
e	r	n	u	l	true
e	r	n	u	n	true
e	r	n	u	r	true
e	r	n	u	s	true
e	r	n	u	t	true
e	r	n	u	ș	true
e	r	n	u	ț	true
e	r	n	â	n	false
e	r	n	â	n	true
e	r	n	ă	-	false
e	r	n	ă	-	true
e	r	n	ă	m	false
e	r	n	ă	m	true
e	r	n	ă	r	true
e	r	n	ă	t	false
e	r	o	-	-	false
e	r	o	a	d	false
e	r	o	a	i	false
e	r	o	a	l	false
e	r	o	a	m	false
e	r	o	a	n	false
e	r	o	a	r	false
e	r	o	a	s	false
e	r	o	a	u	false
e	r	o	b	-	false
e	r	o	b	a	false
e	r	o	b	e	false
e	r	o	b	i	false
e	r	o	b	l	false
e	r	o	b	o	false
e	r	o	b	u	false
e	r	o	b	â	false
e	r	o	b	ă	false
e	r	o	c	-	false
e	r	o	c	a	false
e	r	o	c	c	false
e	r	o	c	c	true
e	r	o	c	e	false
e	r	o	c	e	true
e	r	o	c	h	false
e	r	o	c	i	false
e	r	o	c	l	false
e	r	o	c	o	false
e	r	o	c	r	false
e	r	o	c	u	false
e	r	o	c	u	true
e	r	o	c	â	false
e	r	o	c	ă	false
e	r	o	d	-	false
e	r	o	d	a	false
e	r	o	d	e	false
e	r	o	d	i	false
e	r	o	d	o	false
e	r	o	d	r	false
e	r	o	d	u	false
e	r	o	d	â	false
e	r	o	d	ă	false
e	r	o	e	l	false
e	r	o	f	a	false
e	r	o	f	i	false
e	r	o	f	o	false
e	r	o	f	r	false
e	r	o	f	t	false
e	r	o	f	t	true
e	r	o	g	-	false
e	r	o	g	a	false
e	r	o	g	e	false
e	r	o	g	h	false
e	r	o	g	i	false
e	r	o	g	l	false
e	r	o	g	r	false
e	r	o	g	â	false
e	r	o	g	ă	false
e	r	o	h	e	false
e	r	o	i	-	false
e	r	o	i	c	false
e	r	o	i	d	false
e	r	o	i	i	false
e	r	o	i	l	false
e	r	o	i	n	false
e	r	o	i	o	false
e	r	o	i	s	false
e	r	o	i	u	false
e	r	o	i	z	false
e	r	o	l	-	false
e	r	o	l	a	false
e	r	o	l	e	false
e	r	o	l	i	false
e	r	o	l	o	false
e	r	o	l	u	false
e	r	o	l	â	false
e	r	o	l	ă	false
e	r	o	m	-	false
e	r	o	m	a	false
e	r	o	m	e	false
e	r	o	m	o	false
e	r	o	m	u	false
e	r	o	m	â	false
e	r	o	n	-	false
e	r	o	n	a	false
e	r	o	n	e	false
e	r	o	n	i	false
e	r	o	n	o	false
e	r	o	n	t	false
e	r	o	n	u	false
e	r	o	o	l	false
e	r	o	p	a	false
e	r	o	p	i	false
e	r	o	p	l	false
e	r	o	p	o	false
e	r	o	p	r	false
e	r	o	p	s	false
e	r	o	p	t	false
e	r	o	p	u	false
e	r	o	r	-	false
e	r	o	r	a	false
e	r	o	r	a	true
e	r	o	r	e	false
e	r	o	r	e	true
e	r	o	r	g	false
e	r	o	r	i	false
e	r	o	r	m	false
e	r	o	r	m	true
e	r	o	r	n	false
e	r	o	r	n	true
e	r	o	r	t	false
e	r	o	r	u	false
e	r	o	r	â	false
e	r	o	r	ă	false
e	r	o	r	ă	true
e	r	o	s	-	false
e	r	o	s	a	false
e	r	o	s	c	false
e	r	o	s	e	false
e	r	o	s	i	false
e	r	o	s	m	false
e	r	o	s	m	true
e	r	o	s	o	false
e	r	o	s	p	false
e	r	o	s	t	false
e	r	o	s	u	false
e	r	o	s	ă	false
e	r	o	t	-	false
e	r	o	t	a	false
e	r	o	t	e	false
e	r	o	t	i	false
e	r	o	t	o	false
e	r	o	t	r	false
e	r	o	t	u	false
e	r	o	t	â	false
e	r	o	t	ă	false
e	r	o	u	-	false
e	r	o	u	l	false
e	r	o	u	r	false
e	r	o	v	a	false
e	r	o	v	e	false
e	r	o	v	i	false
e	r	o	x	-	false
e	r	o	x	a	false
e	r	o	x	e	false
e	r	o	x	i	false
e	r	o	x	i	true
e	r	o	x	u	false
e	r	o	x	â	false
e	r	o	x	ă	false
e	r	o	z	a	false
e	r	o	z	e	false
e	r	o	z	i	false
e	r	o	z	o	false
e	r	o	z	â	false
e	r	o	z	ă	false
e	r	o	ș	e	false
e	r	o	ș	i	false
e	r	o	ș	u	false
