b32	b21	b10	a01	syl
-	p	r	e	false
-	p	r	i	false
-	p	r	o	false
-	p	r	o	true
-	p	r	r	false
-	p	r	u	false
-	p	r	â	false
-	p	r	ă	false
-	p	s	a	false
-	p	s	e	false
-	p	s	i	false
-	p	s	o	false
-	p	s	t	false
-	p	t	e	false
-	p	t	i	false
-	p	t	o	false
-	p	t	r	false
-	p	u	b	true
-	p	u	c	false
-	p	u	c	true
-	p	u	d	false
-	p	u	d	true
-	p	u	e	false
-	p	u	e	true
-	p	u	f	false
-	p	u	f	true
-	p	u	g	true
-	p	u	h	true
-	p	u	i	false
-	p	u	i	true
-	p	u	l	false
-	p	u	l	true
-	p	u	m	false
-	p	u	m	true
-	p	u	n	false
-	p	u	n	true
-	p	u	p	false
-	p	u	p	true
-	p	u	r	false
-	p	u	r	true
-	p	u	s	false
-	p	u	s	true
-	p	u	t	false
-	p	u	t	true
-	p	u	ș	false
-	p	u	ț	false
-	p	u	ț	true
-	p	â	c	false
-	p	â	c	true
-	p	â	i	false
-	p	â	i	true
-	p	â	l	false
-	p	â	n	false
-	p	â	n	true
-	p	â	r	false
-	p	â	r	true
-	p	â	s	false
-	p	â	ș	false
-	p	â	ș	true
-	p	ă	c	false
-	p	ă	c	true
-	p	ă	d	true
-	p	ă	f	false
-	p	ă	f	true
-	p	ă	g	true
-	p	ă	h	true
-	p	ă	i	false
-	p	ă	i	true
-	p	ă	l	false
-	p	ă	l	true
-	p	ă	m	true
-	p	ă	n	true
-	p	ă	p	true
-	p	ă	r	false
-	p	ă	r	true
-	p	ă	s	false
-	p	ă	s	true
-	p	ă	t	true
-	p	ă	u	false
-	p	ă	u	true
-	p	ă	z	true
-	p	ă	ș	false
-	p	ă	ș	true
-	p	ă	ț	true
-	q	u	a	false
-	q	u	e	false
-	q	u	i	false
-	q	u	i	true
-	q	u	o	true
-	r	a	b	false
-	r	a	b	true
-	r	a	c	false
-	r	a	c	true
-	r	a	d	false
-	r	a	d	true
-	r	a	f	false
-	r	a	f	true
-	r	a	g	false
-	r	a	g	true
-	r	a	h	true
-	r	a	i	false
-	r	a	i	true
-	r	a	j	true
-	r	a	l	false
-	r	a	l	true
-	r	a	m	false
-	r	a	m	true
-	r	a	n	false
-	r	a	n	true
-	r	a	p	false
-	r	a	p	true
-	r	a	r	false
-	r	a	r	true
-	r	a	s	false
-	r	a	s	true
-	r	a	t	true
-	r	a	v	true
-	r	a	z	false
-	r	a	z	true
-	r	a	ș	false
-	r	a	ș	true
-	r	a	ț	false
-	r	a	ț	true
-	r	e	a	false
-	r	e	a	true
-	r	e	b	true
-	r	e	c	false
-	r	e	c	true
-	r	e	d	false
-	r	e	d	true
-	r	e	e	true
-	r	e	f	true
-	r	e	g	false
-	r	e	g	true
-	r	e	i	false
-	r	e	i	true
-	r	e	j	true
-	r	e	l	true
-	r	e	m	false
-	r	e	m	true
-	r	e	n	false
-	r	e	n	true
-	r	e	o	false
-	r	e	o	true
-	r	e	p	false
-	r	e	p	true
-	r	e	r	true
-	r	e	s	false
-	r	e	s	true
-	r	e	t	true
-	r	e	u	false
-	r	e	u	true
-	r	e	v	true
-	r	e	z	false
-	r	e	z	true
-	r	e	î	true
-	r	e	ș	false
-	r	e	ș	true
-	r	e	ț	true
-	r	h	o	false
-	r	h	y	false
-	r	i	a	true
-	r	i	b	true
-	r	i	c	false
-	r	i	c	true
-	r	i	d	false
-	r	i	d	true
-	r	i	f	true
-	r	i	g	false
-	r	i	g	true
-	r	i	h	false
-	r	i	l	false
-	r	i	l	true
-	r	i	m	true
-	r	i	n	false
-	r	i	n	true
-	r	i	o	true
-	r	i	p	false
-	r	i	p	true
-	r	i	s	false
-	r	i	s	true
-	r	i	t	false
-	r	i	t	true
-	r	i	v	true
-	r	i	x	false
-	r	i	x	true
-	r	i	z	false
-	r	i	z	true
-	r	i	ș	false
-	r	i	ț	false
-	r	i	ț	true
-	r	o	a	false
-	r	o	b	false
-	r	o	b	true
-	r	o	c	false
-	r	o	c	true
-	r	o	d	false
-	r	o	d	true
-	r	o	f	true
-	r	o	g	false
-	r	o	g	true
-	r	o	h	true
-	r	o	i	false
-	r	o	i	true
-	r	o	j	false
-	r	o	l	false
-	r	o	l	true
-	r	o	m	false
-	r	o	m	true
-	r	o	n	false
-	r	o	n	true
-	r	o	p	false
-	r	o	p	true
-	r	o	s	false
-	r	o	s	true
-	r	o	t	true
-	r	o	u	true
-	r	o	v	true
-	r	o	x	true
-	r	o	y	false
-	r	o	z	false
-	r	o	z	true
-	r	o	ș	false
-	r	o	ș	true
-	r	o	ț	false
-	r	o	ț	true
-	r	u	a	true
-	r	u	b	true
-	r	u	c	false
-	r	u	d	true
-	r	u	f	false
-	r	u	f	true
-	r	u	g	false
-	r	u	g	true
-	r	u	i	true
-	r	u	j	false
-	r	u	j	true
-	r	u	l	false
-	r	u	l	true
-	r	u	m	false
-	r	u	m	true
-	r	u	n	false
-	r	u	n	true
-	r	u	p	false
-	r	u	p	true
-	r	u	r	false
-	r	u	r	true
-	r	u	s	false
-	r	u	s	true
-	r	u	t	false
-	r	u	t	true
-	r	u	x	true
-	r	u	z	false
-	r	u	z	true
-	r	u	ș	false
-	r	u	ș	true
-	r	â	b	false
-	r	â	b	true
-	r	â	c	false
-	r	â	c	true
-	r	â	d	false
-	r	â	d	true
-	r	â	g	true
-	r	â	i	true
-	r	â	m	false
-	r	â	m	true
-	r	â	n	false
-	r	â	n	true
-	r	â	p	true
-	r	â	s	false
-	r	â	s	true
-	r	â	t	false
-	r	â	t	true
-	r	â	u	false
-	r	â	u	true
-	r	â	v	false
-	r	â	z	false
-	r	â	z	true
-	r	â	ș	false
-	r	â	ș	true
-	r	ă	b	false
-	r	ă	b	true
-	r	ă	c	false
-	r	ă	c	true
-	r	ă	d	false
-	r	ă	d	true
-	r	ă	f	false
-	r	ă	f	true
-	r	ă	g	true
-	r	ă	i	false
-	r	ă	m	true
-	r	ă	n	false
-	r	ă	n	true
-	r	ă	p	false
-	r	ă	p	true
-	r	ă	r	true
-	r	ă	s	false
-	r	ă	s	true
-	r	ă	t	true
-	r	ă	u	false
-	r	ă	u	true
-	r	ă	v	true
-	r	ă	z	false
-	r	ă	z	true
-	r	ă	ș	false
-	r	ă	ș	true
-	r	ă	ț	true
-	s	a	b	true
-	s	a	c	false
-	s	a	c	true
-	s	a	d	false
-	s	a	d	true
-	s	a	f	false
-	s	a	f	true
-	s	a	g	false
-	s	a	g	true
-	s	a	h	true
-	s	a	i	false
-	s	a	i	true
-	s	a	l	false
-	s	a	l	true
-	s	a	m	false
-	s	a	m	true
-	s	a	n	false
-	s	a	n	true
-	s	a	p	false
-	s	a	p	true
-	s	a	r	false
-	s	a	r	true
-	s	a	s	false
-	s	a	s	true
-	s	a	t	false
-	s	a	t	true
-	s	a	u	false
-	s	a	u	true
-	s	a	v	true
-	s	a	x	false
-	s	a	x	true
-	s	a	ș	false
-	s	a	ș	true
-	s	a	ț	false
-	s	a	ț	true
-	s	b	â	false
-	s	c	a	false
-	s	c	e	false
-	s	c	h	false
-	s	c	i	false
-	s	c	l	false
-	s	c	o	false
-	s	c	r	false
-	s	c	u	false
-	s	c	v	false
-	s	c	â	false
-	s	c	ă	false
-	s	e	a	false
-	s	e	a	true
-	s	e	b	true
-	s	e	c	false
-	s	e	c	true
-	s	e	d	true
-	s	e	f	true
-	s	e	g	false
-	s	e	g	true
-	s	e	i	false
-	s	e	i	true
-	s	e	j	true
-	s	e	l	false
-	s	e	l	true
-	s	e	m	false
-	s	e	m	true
-	s	e	n	false
-	s	e	n	true
-	s	e	p	false
-	s	e	p	true
-	s	e	q	true
-	s	e	r	false
-	s	e	r	true
-	s	e	s	false
-	s	e	s	true
-	s	e	t	false
-	s	e	t	true
-	s	e	u	false
-	s	e	u	true
-	s	e	v	true
-	s	e	x	false
-	s	e	x	true
-	s	e	z	true
-	s	f	a	false
-	s	f	e	false
-	s	f	i	false
-	s	f	o	false
-	s	f	r	false
-	s	f	u	false
-	s	f	â	false
-	s	f	ă	false
-	s	g	r	false
-	s	h	a	false
-	s	i	a	false
-	s	i	a	true
-	s	i	b	true
-	s	i	c	false
-	s	i	c	true
-	s	i	d	true
-	s	i	e	false
-	s	i	e	true
-	s	i	f	false
-	s	i	f	true
-	s	i	g	false
-	s	i	g	true
-	s	i	h	true
-	s	i	l	false
-	s	i	l	true
-	s	i	m	false
-	s	i	m	true
-	s	i	n	false
-	s	i	n	true
-	s	i	o	true
-	s	i	p	true
-	s	i	r	false
-	s	i	r	true
-	s	i	s	false
-	s	i	s	true
-	s	i	t	false
-	s	i	t	true
-	s	i	v	false
-	s	i	v	true
-	s	i	x	false
-	s	i	z	true
-	s	k	a	false
-	s	k	l	false
-	s	l	a	false
-	s	l	e	false
-	s	l	i	false
-	s	l	o	false
-	s	l	u	false
-	s	l	ă	false
-	s	m	a	false
-	s	m	e	false
-	s	m	i	false
-	s	m	o	false
-	s	m	r	false
-	s	m	u	false
-	s	m	â	false
-	s	m	ă	false
-	s	n	a	false
-	s	n	o	false
-	s	o	a	false
-	s	o	b	true
-	s	o	c	false
-	s	o	c	true
-	s	o	d	true
-	s	o	f	false
-	s	o	f	true
-	s	o	h	true
-	s	o	i	false
-	s	o	i	true
-	s	o	l	false
-	s	o	l	true
-	s	o	m	false
-	s	o	m	true
-	s	o	n	false
-	s	o	n	true
-	s	o	p	true
-	s	o	r	false
-	s	o	r	true
-	s	o	s	false
-	s	o	s	true
-	s	o	t	false
-	s	o	t	true
-	s	o	v	false
-	s	o	v	true
-	s	o	ț	false
-	s	o	ț	true
-	s	p	a	false
-	s	p	e	false
-	s	p	i	false
-	s	p	l	false
-	s	p	o	false
-	s	p	r	false
-	s	p	u	false
-	s	p	â	false
-	s	p	ă	false
-	s	s	t	false
-	s	t	a	false
-	s	t	e	false
-	s	t	i	false
-	s	t	o	false
-	s	t	r	false
-	s	t	u	false
-	s	t	y	false
-	s	t	â	false
-	s	t	ă	false
-	s	u	a	true
-	s	u	b	false
-	s	u	b	true
-	s	u	c	false
-	s	u	c	true
-	s	u	d	false
-	s	u	d	true
-	s	u	e	false
-	s	u	e	true
-	s	u	f	true
-	s	u	g	false
-	s	u	g	true
-	s	u	h	true
-	s	u	i	false
-	s	u	i	true
-	s	u	j	true
-	s	u	l	false
-	s	u	l	true
-	s	u	m	false
-	s	u	m	true
-	s	u	n	false
-	s	u	n	true
-	s	u	p	false
-	s	u	p	true
-	s	u	r	false
-	s	u	r	true
-	s	u	s	false
-	s	u	s	true
-	s	u	t	true
-	s	u	v	true
-	s	u	z	true
-	s	u	ș	true
-	s	v	a	false
-	s	v	e	false
-	s	w	i	false
-	s	â	c	false
-	s	â	c	true
-	s	â	m	false
-	s	â	n	false
-	s	â	n	true
-	s	â	r	false
-	s	â	s	true
-	s	ă	b	true
-	s	ă	c	true
-	s	ă	d	true
-	s	ă	g	false
-	s	ă	g	true
-	s	ă	h	true
-	s	ă	i	false
-	s	ă	l	false
-	s	ă	l	true
-	s	ă	m	true
-	s	ă	n	true
-	s	ă	p	false
-	s	ă	p	true
-	s	ă	r	false
-	s	ă	r	true
-	s	ă	s	true
-	s	ă	t	false
-	s	ă	t	true
-	s	ă	u	false
-	s	ă	v	true
-	s	ă	ț	true
-	t	a	b	false
-	t	a	b	true
-	t	a	c	false
-	t	a	c	true
-	t	a	d	false
-	t	a	d	true
-	t	a	f	false
-	t	a	f	true
-	t	a	g	false
-	t	a	g	true
-	t	a	h	false
-	t	a	h	true
-	t	a	i	false
-	t	a	i	true
-	t	a	l	false
-	t	a	l	true
-	t	a	m	false
-	t	a	m	true
-	t	a	n	false
-	t	a	n	true
-	t	a	o	true
-	t	a	p	true
-	t	a	r	false
-	t	a	r	true
-	t	a	s	false
-	t	a	s	true
-	t	a	t	true
-	t	a	u	false
-	t	a	u	true
-	t	a	v	true
-	t	a	x	true
-	t	a	y	false
-	t	a	ș	false
-	t	a	ș	true
-	t	a	ț	false
-	t	a	ț	true
-	t	b	i	false
-	t	e	a	false
-	t	e	a	true
-	t	e	b	true
-	t	e	c	false
-	t	e	c	true
-	t	e	d	true
-	t	e	f	true
-	t	e	g	true
-	t	e	h	false
-	t	e	h	true
-	t	e	i	false
-	t	e	i	true
-	t	e	j	false
-	t	e	l	false
-	t	e	l	true
-	t	e	m	false
-	t	e	m	true
-	t	e	n	false
-	t	e	n	true
-	t	e	o	true
-	t	e	p	true
-	t	e	r	false
-	t	e	r	true
-	t	e	s	false
-	t	e	s	true
-	t	e	t	true
-	t	e	u	false
-	t	e	u	true
-	t	e	v	true
-	t	e	x	false
-	t	e	x	true
-	t	e	z	true
-	t	e	ș	false
-	t	e	ș	true
-	t	h	a	false
-	t	i	a	true
-	t	i	b	true
-	t	i	c	false
-	t	i	c	true
-	t	i	f	false
-	t	i	f	true
-	t	i	g	false
-	t	i	g	true
-	t	i	h	false
-	t	i	h	true
-	t	i	i	false
-	t	i	i	true
-	t	i	j	false
-	t	i	j	true
-	t	i	l	false
-	t	i	l	true
-	t	i	m	false
-	t	i	m	true
-	t	i	n	false
-	t	i	n	true
-	t	i	o	false
-	t	i	o	true
-	t	i	p	false
-	t	i	p	true
-	t	i	r	false
-	t	i	r	true
-	t	i	s	false
-	t	i	s	true
-	t	i	t	true
-	t	i	u	false
-	t	i	v	false
-	t	i	v	true
-	t	i	x	true
-	t	i	z	false
-	t	i	z	true
-	t	i	ș	false
-	t	m	e	false
-	t	o	a	false
-	t	o	a	true
-	t	o	b	true
-	t	o	c	false
-	t	o	c	true
-	t	o	f	true
-	t	o	g	false
-	t	o	g	true
-	t	o	h	true
-	t	o	i	false
-	t	o	i	true
-	t	o	l	false
-	t	o	l	true
-	t	o	m	false
-	t	o	m	true
-	t	o	n	false
-	t	o	n	true
-	t	o	p	false
-	t	o	p	true
-	t	o	r	false
-	t	o	r	true
-	t	o	s	false
-	t	o	t	false
-	t	o	t	true
-	t	o	v	true
-	t	o	x	false
-	t	o	x	true
-	t	o	ț	false
-	t	o	ț	true
-	t	r	a	false
-	t	r	e	false
-	t	r	i	false
-	t	r	o	false
-	t	r	u	false
-	t	r	â	false
-	t	r	ă	false
-	t	u	a	true
-	t	u	b	false
-	t	u	b	true
-	t	u	c	false
-	t	u	c	true
-	t	u	d	true
-	t	u	f	false
-	t	u	f	true
-	t	u	i	false
-	t	u	i	true
-	t	u	l	false
-	t	u	l	true
-	t	u	m	false
-	t	u	m	true
-	t	u	n	false
-	t	u	n	true
-	t	u	p	true
-	t	u	r	false
-	t	u	r	true
-	t	u	s	false
-	t	u	s	true
-	t	u	t	false
-	t	u	t	true
-	t	u	ș	false
-	t	u	ș	true
-	t	u	ț	true
-	t	v	e	false
-	t	â	l	false
-	t	â	m	false
-	t	â	n	false
-	t	â	n	true
-	t	â	r	false
-	t	â	r	true
-	t	â	ț	false
-	t	â	ț	true
-	t	ă	b	true
-	t	ă	c	true
-	t	ă	f	true
-	t	ă	g	false
-	t	ă	g	true
-	t	ă	i	false
-	t	ă	i	true
-	t	ă	l	false
-	t	ă	l	true
-	t	ă	m	false
-	t	ă	m	true
-	t	ă	p	false
-	t	ă	p	true
-	t	ă	r	false
-	t	ă	r	true
-	t	ă	s	false
-	t	ă	t	true
-	t	ă	u	false
-	t	ă	u	true
-	t	ă	v	false
-	t	ă	v	true
-	t	ă	z	false
-	t	ă	ș	false
-	t	ă	ș	true
-	u	b	a	false
-	u	b	e	false
-	u	b	i	false
-	u	c	a	false
-	u	c	e	false
-	u	c	i	false
-	u	c	l	false
-	u	c	r	false
-	u	c	u	false
-	u	d	a	false
-	u	d	e	false
-	u	d	o	false
-	u	d	u	false
-	u	d	â	false
-	u	d	ă	false
-	u	f	o	false
-	u	g	a	false
-	u	g	e	false
-	u	g	h	false
-	u	g	i	false
-	u	g	u	false
-	u	h	u	false
-	u	i	e	false
-	u	i	m	true
-	u	i	t	false
-	u	i	t	true
-	u	i	u	false
-	u	i	ț	false
-	u	j	b	true
-	u	j	u	false
-	u	l	a	false
-	u	l	c	true
-	u	l	e	false
-	u	l	i	false
-	u	l	m	false
-	u	l	m	true
-	u	l	o	false
-	u	l	s	true
-	u	l	t	true
-	u	l	u	false
-	u	m	a	false
-	u	m	b	true
-	u	m	e	false
-	u	m	f	true
-	u	m	i	false
-	u	m	l	true
-	u	m	o	false
-	u	m	p	true
-	u	m	ă	false
-	u	n	a	false
-	u	n	c	false
-	u	n	c	true
-	u	n	d	true
-	u	n	e	false
-	u	n	g	false
-	u	n	g	true
-	u	n	i	false
-	u	n	o	false
-	u	n	s	false
-	u	n	s	true
-	u	n	t	false
-	u	n	t	true
-	u	n	u	false
-	u	n	ș	false
-	u	n	ș	true
-	u	p	e	false
-	u	r	a	false
-	u	r	a	true
-	u	r	b	true
-	u	r	c	false
-	u	r	c	true
-	u	r	d	true
-	u	r	e	false
-	u	r	g	true
-	u	r	i	false
-	u	r	l	false
-	u	r	l	true
-	u	r	m	false
-	u	r	m	true
-	u	r	n	true
-	u	r	o	false
-	u	r	s	false
-	u	r	s	true
-	u	r	t	true
-	u	r	u	false
-	u	r	z	true
-	u	r	â	false
-	u	r	î	false
-	u	r	ă	false
-	u	r	ș	false
-	u	r	ș	true
-	u	s	c	true
-	u	s	n	true
-	u	s	t	true
-	u	s	u	false
-	u	t	e	false
-	u	t	i	false
-	u	t	o	false
-	u	t	r	false
-	u	v	a	false
-	u	v	e	false
-	u	v	i	false
-	u	v	o	false
-	u	v	r	false
-	u	v	u	false
-	u	x	o	false
-	u	z	a	false
-	u	z	b	true
-	u	z	e	false
-	u	z	i	false
-	u	z	u	false
-	u	z	â	false
-	u	z	ă	false
-	u	ș	a	false
-	u	ș	c	true
-	u	ș	e	false
-	u	ș	i	false
-	u	ș	o	false
-	u	ș	u	false
-	u	ș	ă	false
-	v	a	c	false
-	v	a	c	true
-	v	a	d	false
-	v	a	d	true
-	v	a	f	true
-	v	a	g	false
-	v	a	g	true
-	v	a	h	false
-	v	a	i	false
-	v	a	i	true
-	v	a	j	false
-	v	a	l	false
-	v	a	l	true
-	v	a	m	false
-	v	a	m	true
-	v	a	n	false
-	v	a	n	true
-	v	a	p	true
-	v	a	r	false
-	v	a	r	true
-	v	a	s	false
-	v	a	s	true
-	v	a	t	false
-	v	a	t	true
-	v	a	v	true
-	v	a	z	true
-	v	a	ș	false
-	v	a	ș	true
-	v	e	a	false
-	v	e	c	false
-	v	e	c	true
-	v	e	d	false
-	v	e	d	true
-	v	e	g	true
-	v	e	h	true
-	v	e	i	true
-	v	e	l	false
-	v	e	l	true
-	v	e	m	true
-	v	e	n	false
-	v	e	n	true
-	v	e	r	false
-	v	e	r	true
-	v	e	s	false
-	v	e	s	true
-	v	e	t	true
-	v	e	v	true
-	v	e	x	true
-	v	e	z	false
-	v	e	z	true
-	v	e	ș	false
-	v	i	a	false
-	v	i	a	true
-	v	i	b	true
-	v	i	c	false
-	v	i	c	true
-	v	i	d	false
-	v	i	d	true
-	v	i	e	false
-	v	i	e	true
-	v	i	f	true
-	v	i	g	false
-	v	i	g	true
-	v	i	i	false
-	v	i	i	true
-	v	i	j	true
-	v	i	k	true
-	v	i	l	false
-	v	i	l	true
-	v	i	n	false
-	v	i	n	true
-	v	i	o	false
-	v	i	o	true
-	v	i	p	false
-	v	i	p	true
-	v	i	r	false
-	v	i	r	true
-	v	i	s	false
-	v	i	s	true
-	v	i	t	true
-	v	i	u	false
-	v	i	u	true
-	v	i	v	true
-	v	i	z	false
-	v	i	z	true
-	v	i	ș	true
-	v	i	ț	true
-	v	l	a	false
-	v	l	ă	false
-	v	o	a	false
-	v	o	b	true
-	v	o	c	false
-	v	o	c	true
-	v	o	d	true
-	v	o	g	true
-	v	o	i	false
-	v	o	i	true
-	v	o	l	false
-	v	o	l	true
-	v	o	m	true
-	v	o	n	true
-	v	o	p	false
-	v	o	r	false
-	v	o	r	true
-	v	o	s	false
-	v	o	t	false
-	v	o	t	true
-	v	o	u	true
-	v	o	z	false
-	v	o	ș	false
-	v	r	a	false
-	v	r	e	false
-	v	r	i	false
-	v	r	o	false
-	v	r	u	false
-	v	r	â	false
-	v	r	ă	false
-	v	t	o	false
-	v	u	i	true
-	v	u	l	false
-	v	u	l	true
-	v	u	m	false
-	v	u	m	true
-	v	u	r	false
-	v	u	t	false
-	v	u	t	true
-	v	u	v	true
-	v	â	j	false
-	v	â	j	true
-	v	â	l	false
-	v	â	n	false
-	v	â	n	true
-	v	â	r	false
-	v	â	r	true
-	v	â	s	false
-	v	â	z	false
-	v	â	ș	false
-	v	ă	c	false
-	v	ă	c	true
-	v	ă	d	false
-	v	ă	d	true
-	v	ă	g	true
-	v	ă	i	false
-	v	ă	i	true
-	v	ă	l	false
-	v	ă	l	true
-	v	ă	m	false
-	v	ă	m	true
-	v	ă	n	false
-	v	ă	p	true
-	v	ă	r	false
-	v	ă	r	true
-	v	ă	s	false
-	v	ă	s	true
-	v	ă	t	false
-	v	ă	t	true
-	v	ă	z	false
-	v	ă	z	true
-	w	a	g	false
-	w	a	l	false
-	w	a	l	true
-	w	a	r	false
-	w	a	r	true
-	w	a	t	false
-	w	a	t	true
-	w	a	ț	false
-	w	a	ț	true
-	w	e	b	true
-	w	e	r	false
-	w	e	s	false
-	w	i	d	true
-	w	i	l	false
-	w	i	l	true
-	w	i	n	false
-	w	i	t	true
-	w	o	f	true
-	w	o	l	false
-	w	o	n	false
-	w	o	n	true
-	w	r	o	false
-	w	u	l	false
-	w	u	r	false
-	x	a	n	false
-	x	e	n	true
-	x	e	r	false
-	x	e	r	true
-	x	i	f	true
-	x	i	l	true
-	x	o	g	true
-	y	a	l	true
-	y	a	n	false
-	y	a	r	false
-	y	a	t	true
-	y	e	a	false
-	y	e	m	true
-	y	e	n	false
-	y	e	n	true
-	y	e	o	false
-	y	i	a	false
-	y	o	g	true
-	y	o	h	true
-	y	o	r	false
-	y	p	r	false
-	y	t	e	false
-	y	t	r	false
-	y	u	a	false
-	y	u	c	false
-	z	a	b	true
-	z	a	c	false
-	z	a	c	true
-	z	a	d	true
-	z	a	g	true
-	z	a	h	true
-	z	a	i	false
-	z	a	i	true
-	z	a	l	false
-	z	a	l	true
-	z	a	m	false
-	z	a	m	true
-	z	a	n	false
-	z	a	p	false
-	z	a	p	true
-	z	a	r	false
-	z	a	r	true
-	z	a	s	false
-	z	a	u	true
-	z	a	v	true
-	z	a	ț	false
-	z	a	ț	true
-	z	b	a	false
-	z	b	e	false
-	z	b	i	false
-	z	b	l	false
-	z	b	o	false
-	z	b	r	false
-	z	b	u	false
-	z	b	â	false
-	z	b	ă	false
-	z	d	e	false
-	z	d	r	false
-	z	d	u	false
-	z	e	a	false
-	z	e	a	true
-	z	e	b	true
-	z	e	c	true
-	z	e	f	false
-	z	e	f	true
-	z	e	g	true
-	z	e	i	false
-	z	e	i	true
-	z	e	l	false
-	z	e	l	true
-	z	e	m	false
-	z	e	m	true
-	z	e	n	false
-	z	e	n	true
-	z	e	o	true
-	z	e	p	false
-	z	e	r	false
-	z	e	r	true
-	z	e	s	false
-	z	e	t	true
-	z	e	u	false
-	z	e	u	true
-	z	e	v	false
-	z	e	x	true
-	z	e	ț	true
-	z	g	a	false
-	z	g	h	false
-	z	g	l	false
-	z	g	o	false
-	z	g	r	false
-	z	g	u	false
-	z	g	â	false
-	z	g	ă	false
-	z	i	a	true
-	z	i	b	true
-	z	i	c	false
-	z	i	c	true
-	z	i	d	false
-	z	i	d	true
-	z	i	g	false
-	z	i	g	true
-	z	i	l	false
-	z	i	l	true
-	z	i	m	false
-	z	i	m	true
-	z	i	n	false
-	z	i	r	false
-	z	i	r	true
-	z	i	s	false
-	z	i	s	true
-	z	i	t	true
-	z	i	u	true
-	z	i	z	true
-	z	i	ș	false
-	z	l	a	false
-	z	l	o	false
-	z	l	ă	false
-	z	m	a	false
-	z	m	e	false
-	z	m	â	false
-	z	m	ă	false
-	z	n	a	false
-	z	o	a	false
-	z	o	a	true
-	z	o	b	false
-	z	o	b	true
-	z	o	d	true
-	z	o	i	false
-	z	o	i	true
-	z	o	l	false
-	z	o	l	true
-	z	o	m	false
-	z	o	n	true
-	z	o	o	true
-	z	o	p	true
-	z	o	r	false
-	z	o	r	true
-	z	o	s	false
-	z	u	a	true
-	z	u	f	false
-	z	u	f	true
-	z	u	g	true
-	z	u	l	true
-	z	u	m	false
-	z	u	m	true
-	z	u	p	false
-	z	u	p	true
-	z	u	r	false
-	z	u	r	true
-	z	u	z	true
-	z	v	a	false
-	z	v	e	false
-	z	v	i	false
-	z	v	o	false
-	z	v	â	false
-	z	v	ă	false
-	z	â	m	false
-	z	â	n	false
-	z	â	n	true
-	z	â	r	false
-	z	â	t	false
-	z	â	z	true
-	z	ă	b	true
-	z	ă	c	true
-	z	ă	d	true
-	z	ă	g	false
-	z	ă	g	true
-	z	ă	h	true
-	z	ă	i	false
-	z	ă	i	true
-	z	ă	l	true
-	z	ă	m	false
-	z	ă	m	true
-	z	ă	n	false
-	z	ă	n	true
-	z	ă	p	false
-	z	ă	p	true
-	z	ă	r	false
-	z	ă	r	true
-	z	ă	s	false
-	z	ă	t	true
-	z	ă	u	false
-	z	ă	v	true
-	î	h	î	false
-	î	m	b	true
-	î	m	i	false
-	î	m	p	true
-	î	n	a	false
-	î	n	a	true
-	î	n	c	true
-	î	n	d	true
-	î	n	e	false
-	î	n	f	true
-	î	n	g	true
-	î	n	h	true
-	î	n	i	false
-	î	n	i	true
-	î	n	j	false
-	î	n	j	true
-	î	n	l	true
-	î	n	m	true
-	î	n	n	true
-	î	n	o	false
-	î	n	r	true
-	î	n	s	false
-	î	n	s	true
-	î	n	t	false
-	î	n	t	true
-	î	n	v	true
-	î	n	z	true
-	î	n	ă	false
-	î	n	ă	true
-	î	n	ș	true
-	î	n	ț	true
-	î	r	a	false
-	î	ș	i	false
-	î	ț	i	false
-	ă	i	a	false
-	ă	i	l	true
-	ă	l	a	false
-	ă	l	e	false
-	ă	l	o	false
-	ă	l	u	false
-	ă	l	ă	false
-	ă	s	t	false
-	ă	s	t	true
-	ă	z	b	true
-	ă	ș	t	false
-	ă	ș	t	true
-	ș	a	b	true
-	ș	a	c	true
-	ș	a	d	true
-	ș	a	f	true
-	ș	a	g	true
-	ș	a	h	false
-	ș	a	h	true
-	ș	a	i	false
-	ș	a	i	true
-	ș	a	l	false
-	ș	a	l	true
-	ș	a	m	false
-	ș	a	m	true
-	ș	a	n	false
-	ș	a	n	true
-	ș	a	p	false
-	ș	a	p	true
-	ș	a	r	false
-	ș	a	r	true
-	ș	a	s	false
-	ș	a	s	true
-	ș	a	t	true
-	ș	a	u	true
-	ș	a	v	true
-	ș	a	ș	false
-	ș	c	h	false
-	ș	c	o	false
-	ș	e	d	false
-	ș	e	d	true
-	ș	e	f	false
-	ș	e	f	true
-	ș	e	i	false
-	ș	e	i	true
-	ș	e	l	false
-	ș	e	l	true
-	ș	e	m	true
-	ș	e	n	true
-	ș	e	p	false
-	ș	e	p	true
-	ș	e	r	false
-	ș	e	r	true
-	ș	e	s	false
-	ș	e	s	true
-	ș	e	u	true
-	ș	e	v	true
-	ș	e	z	false
-	ș	e	z	true
-	ș	f	e	false
-	ș	f	i	false
-	ș	f	ă	false
-	ș	i	a	true
-	ș	i	b	true
-	ș	i	c	false
-	ș	i	c	true
-	ș	i	f	false
-	ș	i	f	true
-	ș	i	i	true
-	ș	i	l	false
-	ș	i	l	true
-	ș	i	m	false
-	ș	i	m	true
-	ș	i	n	false
-	ș	i	n	true
-	ș	i	p	false
-	ș	i	p	true
-	ș	i	r	false
-	ș	i	r	true
-	ș	i	s	false
-	ș	i	t	true
-	ș	i	ș	false
-	ș	i	ș	true
-	ș	i	ț	true
-	ș	l	a	false
-	ș	l	e	false
